delta,y
-113.04980420433519,0.0
-113.05071061991966,-2078.826631123433
-113.05161703550415,-35428.12520920101
-113.05252345108862,-42786.20713883184
-113.05342986667311,-16239.755832738942
-113.05433628225758,0.0
-113.05524269784205,-21221.975090126856
-113.05614911342654,-8378.816191210179
-113.05705552901101,25997.60658933432
-113.05796194459548,26179.588710033684
-113.05886836017997,0.0
-113.05977477576444,20845.437572696945
-113.0606811913489,63422.555069257505
-113.0615876069334,63627.08111204114
-113.06249402251787,23017.38303780579
-113.06340043810233,0.0
-113.06430685368683,13153.71698022564
-113.0652132692713,-26011.838167787762
-113.06611968485576,-104143.0129941199
-113.06702610044026,-141228.58000786742
-113.06793251602473,-129471.29383281595
-113.06883893160919,-133259.09637585725
-113.06974534719369,-152611.3561288747
-113.07065176277816,-122055.50199924689
-113.07155817836265,-45726.87787176878
-113.07246459394712,4705.875127364183
-113.07337100953158,27478.081008926034
-113.07427742511608,85602.1972861574
-113.07518384070055,166499.31252737925
-113.07609025628501,193498.1320407996
-113.07699667186951,176439.0256953626
-113.07790308745398,200175.2368685652
-113.07880950303844,264537.19133237074
-113.07971591862294,290633.67870905204
-113.0806223342074,282222.1923916731
-113.08152874979187,317999.9760069165
-113.08243516537637,387683.55444473424
-113.08334158096083,406227.0499882689
-113.0842479965453,387811.5235290552
-113.0851544121298,428935.2329667008
-113.08606082771426,521910.68628643814
-113.08696724329873,568886.089007244
-113.08787365888323,577055.9996395522
-113.08878007446769,647688.6725484345
-113.08968649005219,775225.7574240923
-113.09059290563665,858332.3376106238
-113.09149932122112,907065.735080294
-113.09240573680562,1029430.6615132263
-113.09331215239008,1215627.4286057027
-113.09421856797455,1354319.4603471844
-113.09512498355905,1458403.3024935762
-113.09603139914351,1644249.5861353844
-113.09693781472798,1891257.837490575
-113.09784423031248,2064433.8625925882
-113.09875064589694,2171517.3585929107
-113.09965706148141,2341977.9425297356
-113.1005634770659,2554394.207220142
-113.10146989265037,2657164.0138677997
-113.10237630823484,2663613.7953056144
-113.10328272381933,2745390.2137657795
-113.1041891394038,2927469.042707763
-113.10509555498827,3078246.7492544856
-113.10600197057276,3199593.124813729
-113.10690838615723,3418980.4412604677
-113.10781480174172,3700227.965684926
-113.10872121732619,3892668.046823359
-113.10962763291066,4061244.91178443
-113.11053404849515,4415292.106224652
-113.11144046407962,4916700.756236329
-113.11234687966409,5334286.832534462
-113.11325329524858,5673978.305789546
-113.11415971083305,6146802.452709228
-113.11506612641752,6727325.062653326
-113.11597254200201,7196652.936772267
-113.11687895758648,7617105.854108826
-113.11778537317095,8276049.0841734875
-113.11869178875544,9159885.599905433
-113.11959820433991,10009509.508420266
-113.12050461992438,10893311.94333281
-113.12141103550887,12146961.501129065
-113.12231745109334,13749642.593821565
-113.1232238666778,15401682.970839221
-113.1241302822623,17217728.25412156
-113.12503669784677,19631695.350600116
-113.12594311343126,22636981.129773006
-113.12684952901573,25957462.8512859
-113.1277559446002,29970686.94762226
-113.12866236018469,35509015.361318655
-113.12956877576916,42769248.19778016
-113.13047519135363,51596193.37136332
-113.13138160693812,62878884.99165521
-113.13228802252259,78272448.75154787
-113.13319443810705,98558627.27951317
-113.13410085369155,124143931.54264483
-113.13500726927602,156883351.5689102
-113.13591368486048,197429623.501085
-113.13682010044498,238302116.0656809
-113.13772651602945,263035160.5896279
-113.13863293161391,257603596.59322935
-113.13953934719841,223525654.21999958
-113.14044576278287,176972830.4195096
-113.14135217836734,134672613.97928512
-113.14225859395184,102967100.19580461
-113.1431650095363,79810254.72941588
-113.1440714251208,62366062.10541648
-113.14497784070527,49656728.42911975
-113.14588425628973,40604855.18356327
-113.14679067187423,33527813.87882838
-113.1476970874587,27684232.467305858
-113.14860350304316,23328545.21941592
-113.14950991862766,20256524.32872191
-113.15041633421212,17702001.95099412
-113.15132274979659,15496596.582873287
-113.15222916538109,14040930.25722034
-113.15313558096555,13182894.154506972
-113.15404199655002,12194631.93928799
-113.15494841213452,10828380.42974365
-113.15585482771898,9480160.987461463
-113.15676124330345,8342353.436703407
-113.15766765888795,7210507.526123183
-113.15857407447241,6098945.325908644
-113.15948049005688,5292802.8941645445
-113.16038690564137,4773222.665409442
-113.16129332122584,4231055.640691847
-113.16219973681034,3645705.112081346
-113.1631061523948,3276951.0598760173
-113.16401256797927,3114561.0370005076
-113.16491898356377,2880477.9955265457
-113.16582539914823,2543302.759525213
-113.1667318147327,2318805.0142863654
-113.1676382303172,2198716.6192686437
-113.16854464590166,1969381.6729802839
-113.16945106148613,1661763.5199764203
-113.17035747707062,1511056.8118021085
-113.17126389265509,1495993.1473222333
-113.17217030823956,1365229.9475677516
-113.17307672382405,1099339.5130285432
-113.17398313940852,922050.8766527198
-113.17488955499299,873450.7641799208
-113.17579597057748,781454.2738246365
-113.17670238616195,642348.6373583155
-113.17760880174642,634076.9389097345
-113.17851521733091,753445.8318847227
-113.17942163291538,811326.5752090627
-113.18032804849987,789627.4991462405
-113.18123446408434,853973.1281410943
-113.18214087966881,1014109.8248921791
-113.1830472952533,1109347.7786899065
-113.18395371083777,1132564.6926800956
-113.18486012642224,1245013.264150178
-113.18576654200673,1465618.6495535704
-113.1866729575912,1657241.6695066926
-113.18757937317567,1829017.5795891332
-113.18848578876016,2147607.5353216208
-113.18939220434463,2618129.952908705
-113.1902986199291,3019554.55613818
-113.19120503551359,3180891.2246028143
-113.19211145109806,3094872.023064669
-113.19301786668252,2777988.8410077994
-113.19392428226702,2265092.992862492
