delta,y
-62.77999588924817,0.0
-62.78090230483264,-213738.86684599426
-62.78180872041712,-447484.7212163005
-62.7827151360016,-147441.21477681957
-62.783621551586066,195944.24249085877
-62.78452796717055,0.0
-62.78543438275503,-531500.682807818
-62.78634079833951,-443399.11826529354
-62.787247213923976,-104132.52959432639
-62.78815362950846,-86953.53105588257
-62.78906004509294,0.0
-62.789966460677405,291881.69337415043
-62.790872876261886,639802.8917806502
-62.79177929184637,395459.04581431486
-62.792685707430834,-13866.435824330896
-62.793592123015316,0.0
-62.7944985385998,416234.167458456
-62.79540495418428,146585.6686969474
-62.796311369768745,-359575.2379849162
-62.797217785353226,-505474.39318216406
-62.79812420093771,-764655.0251061041
-62.799030616522174,-1669426.726819886
-62.799937032106655,-2528117.7657700274
-62.800843447691136,-2476223.3461860083
-62.8017498632756,-1878807.739352122
-62.802656278860084,-1403028.0390907992
-62.803562694444565,-710187.2552905455
-62.804469110029046,596357.1315649934
-62.80537552561351,1790567.5522957463
-62.806281941197994,2195726.488109505
-62.807188356782476,2477623.008048037
-62.80809477236694,3370885.212527087
-62.809001187951424,4236238.368808771
-62.809907603535905,4324849.229769886
-62.81081401912037,4294492.8565691225
-62.81172043470485,4946107.216362067
-62.812626850289334,5650414.310781639
-62.813533265873815,5603813.014568239
-62.81443968145828,5431541.483919425
-62.81534609704276,5932096.979875976
-62.816252512627244,6485111.1711703
-62.81715892821171,6375542.455841051
-62.81806534379619,6422763.158064952
-62.81897175938067,7583496.564901959
-62.819878174965154,9232017.89754697
-62.82078459054962,10539711.848191354
-62.8216910061341,12169902.31950638
-62.822597421718584,14808840.730909448
-62.82350383730305,17459587.144128017
-62.82441025288753,19072411.487965174
-62.82531666847201,20406496.303280056
-62.82622308405648,22374789.53094648
-62.82712949964096,24104352.317448117
-62.82803591522544,24638389.110517792
-62.82894233080992,24948117.955163468
-62.82984874639439,26174538.850634664
-62.83075516197887,27546841.562532652
-62.83166157756335,28206326.2678551
-62.83256799314782,29340573.999822654
-62.8334744087323,32215852.3159301
-62.83438082431678,35861852.9143405
-62.83528723990125,39063392.28678832
-62.83619365548573,42805323.25702744
-62.83710007107021,48266279.54037179
-62.83800648665469,54216029.20342407
-62.83891290223916,58864792.60380408
-62.83981931782364,62379859.07679505
-62.84072573340812,65198388.52067144
-62.84163214899259,66153086.908212185
-62.84253856457707,64952200.501843676
-62.84344498016155,64113521.971378736
-62.84435139574602,65552177.253297515
-62.8452578113305,67680971.24603973
-62.84616422691498,68760768.6916321
-62.84707064249946,70335323.27890404
-62.84797705808393,74206821.59736931
-62.84888347366841,79067043.75728309
-62.84978988925289,83629826.46321703
-62.850696304837356,89896239.44031087
-62.85160272042184,99510959.58194147
-62.85250913600632,110255047.4731936
-62.853415551590786,120225807.54727302
-62.85432196717527,131861915.38399966
-62.85522838275975,147410657.97895548
-62.85613479834423,164346920.80655918
-62.857041213928696,180134702.66026565
-62.85794762951318,197304733.83841532
-62.85885404509766,218609712.26726276
-62.859760460682125,241982744.18321386
-62.860666876266606,266297886.4164252
-62.86157329185109,296946999.8660023
-62.862479707435554,339064291.6403953
-62.863386123020035,391070127.0686922
-62.864292538604516,452571653.78419346
-62.865198954189,532244910.17877173
-62.866105369773464,639515106.638746
-62.867011785357946,776604101.3924718
-62.86791820094243,949609966.3434279
-62.868824616526894,1178587404.390454
-62.869731032111375,1484510115.1921864
-62.870637447695856,1878257221.5343132
-62.87154386328032,2375726182.789309
-62.872450278864804,2994202214.821151
-62.873356694449285,3683321118.6971493
-62.874263110033766,4261927071.8257065
-62.87516952561823,4488857771.735676
-62.876075941202714,4248093208.815177
-62.876982356787195,3654666229.6245165
-62.87788877237166,2955510972.379641
-62.87879518795614,2339786259.45182
-62.879701603540624,1858583247.588292
-62.88060801912509,1487052885.7631242
-62.88151443470957,1201137655.830904
-62.882420850294054,986479745.1249088
-62.883327265878535,821639071.1058893
-62.884233681463,686530579.4540652
-62.88514009704748,576020959.039194
-62.886046512631964,490246337.0720404
-62.88695292821643,421510927.7351345
-62.88785934380091,360986884.23284054
-62.88876575938539,308646002.3659829
