delta,y
-62.150037058036744,0.0
-62.150943473621226,-20201.62932602316
-62.15184988920569,-176860.8858158267
-62.152756304790174,-398725.54737541825
-62.153662720374655,-311745.03957942873
-62.15456913595912,0.0
-62.1554755515436,-12423.987895514816
-62.156381967128084,-190806.5471682623
-62.15728838271255,-153236.78725846857
-62.15819479829703,41787.70295684971
-62.15910121388151,0.0
-62.160007629465994,-98856.59924465977
-62.16091404505046,37898.27168912906
-62.16182046063494,320251.81776008476
-62.16272687621942,290331.81951567344
-62.16363329180389,0.0
-62.16453970738837,140628.1254149899
-62.16544612297285,476928.42795368284
-62.16635253855732,591461.8042715453
-62.1672589541418,535399.5520572793
-62.16816536972628,744389.093684365
-62.16907178531076,1151385.0587718347
-62.16997820089523,1292031.9283617502
-62.17088461647971,1230324.3625164116
-62.17179103206419,1453080.5219939547
-62.17269744764866,1903272.238966019
-62.17360386323314,2067828.338584465
-62.17451027881762,1976162.5317695225
-62.17541669440209,2145281.5253487574
-62.17632310998657,2580395.6410283633
-62.17722952557105,2816551.8070912566
-62.17813594115553,2904597.27277668
-62.17904235674,3339057.105433166
-62.17994877232448,4042027.8756187577
-62.18085518790896,4447610.901220759
-62.18176160349343,4551730.936970303
-62.18266801907791,4822964.297384283
-62.18357443466239,5134981.845060134
-62.18448085024687,4913639.699566355
-62.18538726583134,4319248.051647636
-62.18629368141582,4129078.676976665
-62.1872000970003,4436635.279332007
-62.18810651258477,4614703.591418558
-62.18901292816925,4557482.518298942
-62.18991934375373,4767017.993076964
-62.190825759338196,5213649.104531235
-62.19173217492268,5351838.191889762
-62.19263859050716,5290105.29864097
-62.19354500609164,5687036.631056391
-62.194451421676106,6457219.625703216
-62.19535783726059,6859865.043717273
-62.19626425284507,6891497.942578841
-62.197170668429536,7276807.0426476225
-62.19807708401402,8078692.603858974
-62.1989834995985,8697330.700115286
-62.199889915182965,9243656.591855671
-62.200796330767446,10445416.668606274
-62.20170274635193,12145266.875513371
-62.20260916193641,13395582.023928396
-62.203515577520875,14115840.671203945
-62.204421993105356,15143264.385696545
-62.20532840868984,16610388.188717138
-62.206234824274304,17877496.938876074
-62.207141239858785,19110496.314908583
-62.208047655443266,21221516.53823404
-62.20895407102773,24134043.223060146
-62.209860486612214,26784952.90760406
-62.210766902196696,28873285.07327711
-62.21167331778118,30847004.59352304
-62.212579733365644,32258952.56522645
-62.213486148950125,32190649.78575451
-62.214392564534606,31342119.44405315
-62.21529898011907,31540199.228532746
-62.216205395703554,33049391.39020139
-62.217111811288035,34557040.14162094
-62.2180182268725,35850030.250492655
-62.21892464245698,38049573.60790559
-62.219831058041464,41076084.26327363
-62.220737473625945,43562149.10345616
-62.22164388921041,45579123.988264345
-62.22255030479489,48698827.91596757
-62.223456720379374,53010440.69678511
-62.22436313596384,56978950.49544432
-62.22526955154832,60631585.815509446
-62.226175967132804,65756415.214845836
-62.22708238271727,72500738.88258122
-62.22798879830175,79158154.51656292
-62.22889521388623,85887899.89664555
-62.229801629470714,95035189.41533577
-62.23070804505518,107160520.54339021
-62.23161446063966,120696736.57045574
-62.23252087622414,136205408.5494577
-62.23342729180861,156598529.16351712
-62.23433370739309,182433752.6120051
-62.23524012297757,212028412.49153593
-62.23614653856204,247225968.09231743
-62.23705295414652,293495966.7274725
-62.237959369731,353491021.059887
-62.23886578531548,427516417.8294299
-62.23977220089995,521891367.761641
-62.24067861648443,648634333.2157164
-62.24158503206891,815129526.2260883
-62.24249144765338,1024446110.8725978
-62.24339786323786,1285753591.745067
-62.24430427882234,1600815291.2145061
-62.24521069440681,1921484177.2225752
-62.24611710999129,2138113546.102765
-62.24702352557577,2146028575.4999874
-62.24792994116025,1935765507.1733668
-62.24883635674472,1604203738.6525607
-62.2497427723292,1272071554.9981446
-62.25064918791368,1002317662.455609
-62.25155560349815,795870400.1782278
-62.25246201908263,636302352.188573
-62.25336843466711,514887490.6828526
-62.254274850251576,424004109.567025
-62.25518126583606,352467203.25723726
-62.25608768142054,293647456.31541014
-62.25699409700502,247658357.57362375
-62.25790051258949,213200648.6061901
-62.25880692817397,185014120.71043804
-62.25971334375845,160302471.69281632
-62.260619759342916,140534649.26106203
-62.2615261749274,125642032.80635546
-62.26243259051188,112316071.40947524
-62.263339006096345,99094859.32250819
-62.264245421680826,87918247.83640927
-62.26515183726531,79542867.66821906
-62.26605825284979,71918908.60277116
-62.266964668434255,64071975.05996593
-62.267871084018736,57501808.29667105
-62.26877749960322,52744533.2448314
-62.269683915187684,48177945.7238945
-62.270590330772166,43152962.80899646
-62.27149674635665,39032870.47226882
-62.272403161941114,36288838.757712245
-62.273309577525595,33568916.06941624
-62.274215993110076,30414156.001178686
-62.27512240869456,28094904.138969474
-62.276028824279024,27007009.847393405
-62.276935239863505,25828687.174240105
-62.277841655447986,23956403.858322464
-62.27874807103245,22359805.707349442
-62.279654486616934,21385541.63642104
-62.280560902201415,20025584.005562
-62.28146731778588,18004241.369562767
-62.28237373337036,16420163.976592617
-62.283280148954844,15691210.095264627
-62.284186564539326,14882590.983701127
-62.28509298012379,13627652.45819743
-62.285999395708274,12759433.27739783
-62.286905811292755,12504624.579787917
-62.28781222687722,11954185.695267573
-62.2887186424617,10886096.302034907
-62.289625058046184,10317833.37965389
-62.29053147363065,10701640.400659136
-62.29143788921513,11262491.69369797
-62.29234430479961,11618827.465049535
-62.293250720384094,12406547.378130946
-62.29415713596856,13811318.364463143
-62.29506355155304,15075243.140016835
-62.29596996713752,15907504.07589519
