delta,y
-113.04980420433519,0.0
-113.05071061991966,-901.7154259914532
-113.05161703550415,16773.622672779486
-113.05252345108862,-1101.557925815694
-113.05342986667311,-22774.628583722282
-113.05433628225758,0.0
-113.05524269784205,7259.286138500363
-113.05614911342654,-23162.70726971179
-113.05705552901101,-50858.68040665341
-113.05796194459548,-27523.6016228551
-113.05886836017997,0.0
-113.05977477576444,6386.929234710522
-113.0606811913489,-8364.53728190111
-113.0615876069334,9736.289704887662
-113.06249402251787,26841.34182994766
-113.06340043810233,0.0
-113.06430685368683,-37757.76842984025
-113.0652132692713,-9099.851861141695
-113.06611968485576,35943.8027797566
-113.06702610044026,26963.42560713397
-113.06793251602473,-1391.6896919095452
-113.06883893160919,14962.22963364725
-113.06974534719369,47991.51275542515
-113.07065176277816,46980.76351273635
-113.07155817836265,50469.38600827928
-113.07246459394712,112454.73537786733
-113.07337100953158,193595.38738373417
-113.07427742511608,238078.04074496962
-113.07518384070055,277958.6830023953
-113.07609025628501,350202.0882692071
-113.07699667186951,397970.0784890057
-113.07790308745398,370607.6044918987
-113.07880950303844,333222.87743323535
-113.07971591862294,359713.5938315748
-113.0806223342074,407391.87133046985
-113.08152874979187,413921.81591243175
-113.08243516537637,420704.9388222642
-113.08334158096083,478234.80517994624
-113.0842479965453,530192.2625324007
-113.0851544121298,518768.0240628044
-113.08606082771426,503301.74399552797
-113.08696724329873,544923.1502972469
-113.08787365888323,578337.0372924671
-113.08878007446769,531425.2994978692
-113.08968649005219,464714.2656573514
-113.09059290563665,455252.8659320015
-113.09149932122112,453117.0061140624
-113.09240573680562,396013.68162012956
-113.09331215239008,353512.83575124654
-113.09421856797455,407388.3262846364
-113.09512498355905,497608.5394454136
-113.09603139914351,536484.6809794186
-113.09693781472798,564766.2382858645
-113.09784423031248,644893.6186241922
-113.09875064589694,716390.8721338428
-113.09965706148141,713014.5504513866
-113.1005634770659,705844.1507342901
-113.10146989265037,772443.0544092685
-113.10237630823484,844829.3781200675
-113.10328272381933,846934.5757053529
-113.1041891394038,856540.8292932655
-113.10509555498827,966197.4108958534
-113.10600197057276,1112740.0914932264
-113.10690838615723,1210806.4178133155
-113.10781480174172,1318066.3832784046
-113.10872121732619,1496124.997104709
-113.10962763291066,1652441.421352025
-113.11053404849515,1701589.0272053261
-113.11144046407962,1737478.9899751022
-113.11234687966409,1863725.1418987082
-113.11325329524858,2009361.8979081153
-113.11415971083305,2099935.8477137433
-113.11506612641752,2240324.209478968
-113.11597254200201,2523685.6318097287
-113.11687895758648,2832353.0751376865
-113.11778537317095,3040939.557835391
-113.11869178875544,3239530.981404986
-113.11959820433991,3540650.2406328344
-113.12050461992438,3859656.5276381643
-113.12141103550887,4115586.8778983774
-113.12231745109334,4440761.593044353
-113.1232238666778,4943097.548275421
-113.1241302822623,5477288.518379016
-113.12503669784677,5913874.5004563285
-113.12594311343126,6407965.780470885
-113.12684952901573,7128258.014092609
-113.1277559446002,7967810.459665915
-113.12866236018469,8814894.176988607
-113.12956877576916,9837756.716282273
-113.13047519135363,11184375.751309816
-113.13138160693812,12702138.698638136
-113.13228802252259,14310128.734434346
-113.13319443810705,16328129.448381918
-113.13410085369155,19056295.372429855
-113.13500726927602,22396163.120237757
-113.13591368486048,26322184.173305638
-113.13682010044498,31326865.090446606
-113.13772651602945,37933122.38341345
-113.13863293161391,46273770.790289864
-113.13953934719841,56741556.12246565
-113.14044576278287,70488144.46085064
-113.14135217836734,88618700.10206601
