delta,y
-113.04980420433519,0.0
-113.05071061991966,-37422.01144130239
-113.05161703550415,-31794.076577762888
-113.05252345108862,6023.543045656566
-113.05342986667311,15643.335335587988
-113.05433628225758,0.0
-113.05524269784205,-5072.470787646529
-113.05614911342654,17634.93591980906
-113.05705552901101,14695.156670421915
-113.05796194459548,-9837.294981147352
-113.05886836017997,0.0
-113.05977477576444,11428.190488325345
-113.0606811913489,5980.984658654139
-113.0615876069334,-16681.56357622269
-113.06249402251787,-13421.587996872491
-113.06340043810233,0.0
-113.06430685368683,5597.110559727007
-113.0652132692713,-28557.863961199415
-113.06611968485576,-43845.52387768694
-113.06702610044026,-49714.80539448297
-113.06793251602473,-105814.77326870314
-113.06883893160919,-195223.80163898208
-113.06974534719369,-239544.73886302987
-113.07065176277816,-235966.609514397
-113.07155817836265,-253509.21878577484
-113.07246459394712,-296617.780961466
-113.07337100953158,-302997.98284145864
-113.07427742511608,-275742.28960654105
-113.07518384070055,-282466.7291083975
-113.07609025628501,-320296.94361341436
-113.07699667186951,-318759.0222156064
-113.07790308745398,-281673.53300324525
-113.07880950303844,-286594.09084257187
-113.07971591862294,-336705.0619639548
-113.0806223342074,-354906.85852673923
-113.08152874979187,-331213.44620946515
-113.08243516537637,-330104.2797121955
-113.08334158096083,-345602.65201760834
-113.0842479965453,-301768.1867448847
-113.0851544121298,-206031.6661905173
-113.08606082771426,-145703.74588550092
-113.08696724329873,-123754.12824072153
-113.08787365888323,-61415.342207305424
-113.08878007446769,27454.129164353595
-113.08968649005219,38878.327965352335
-113.09059290563665,-29907.258939143736
-113.09149932122112,-70879.93119511986
-113.09240573680562,-65178.362217115704
-113.09331215239008,-107632.53720966319
-113.09421856797455,-210097.74919188733
-113.09512498355905,-272453.8980021046
-113.09603139914351,-276257.5719800533
-113.09693781472798,-309879.03228910244
-113.09784423031248,-371512.72971490945
-113.09875064589694,-351899.6506897415
-113.09965706148141,-246120.40336418897
-113.1005634770659,-172020.60907798912
-113.10146989265037,-145059.41610336676
-113.10237630823484,-55899.81141764403
-113.10328272381933,94397.28597328707
-113.1041891394038,172692.91610939777
-113.10509555498827,166011.93166225008
-113.10600197057276,208761.31686975597
-113.10690838615723,316870.6689144863
-113.10781480174172,358022.5389130699
-113.10872121732619,334560.8863915964
-113.10962763291066,414291.98066500714
-113.11053404849515,619369.024070417
-113.11144046407962,778203.5623638113
-113.11234687966409,853828.2737522948
-113.11325329524858,1010679.9968183779
-113.11415971083305,1282974.3986941057
-113.11506612641752,1508678.0399249282
-113.11597254200201,1675081.1302926757
-113.11687895758648,1974925.9992861329
-113.11778537317095,2426141.49742027
-113.11869178875544,2816167.850435702
-113.11959820433991,3127761.6639956897
-113.12050461992438,3608570.087851024
-113.12141103550887,4301380.052919799
-113.12231745109334,4956727.247152623
-113.1232238666778,5551097.769060602
-113.1241302822623,6403007.938830013
-113.12503669784677,7616472.5682034
-113.12594311343126,8946684.248629535
-113.12684952901573,10397904.091785466
-113.1277559446002,12354227.718969503
-113.12866236018469,14911280.944865264
-113.12956877576916,17770911.442666244
-113.13047519135363,21068968.62246809
-113.13138160693812,25548132.134560663
-113.13228802252259,31632883.97377294
-113.13319443810705,39284407.767974705
-113.13410085369155,49170119.70660235
-113.13500726927602,62856821.69788562
-113.13591368486048,81380816.60446247
-113.13682010044498,105136167.92954275
-113.13772651602945,135710697.89981824
-113.13863293161391,174808996.34973472
-113.13953934719841,218128627.28664514
-113.14044576278287,251910858.10837123
-113.14135217836734,260531883.9514019
-113.14225859395184,239743756.12707114
-113.1431650095363,200635148.52372456
-113.1440714251208,159556083.10412297
-113.14497784070527,125974459.70753027
-113.14588425628973,100522553.04587057
-113.14679067187423,80964606.73047197
-113.1476970874587,66172130.689165846
-113.14860350304316,55288776.40511298
-113.14950991862766,46797462.524343245
-113.15041633421212,39693878.13695206
-113.15132274979659,34074784.497281924
-113.15222916538109,29970965.382630054
-113.15313558096555,26738321.797809977
-113.15404199655002,23959164.43821027
-113.15494841213452,21875593.987759974
-113.15585482771898,20518406.848542903
-113.15676124330345,19273764.863516793
-113.15766765888795,17694047.58960918
-113.15857407447241,16018131.572067868
-113.15948049005688,14561048.870566629
-113.16038690564137,13224657.75000016
-113.16129332122584,11907211.40672897
-113.16219973681034,10810756.27666096
-113.1631061523948,10032453.808410935
-113.16401256797927,9335238.656094853
-113.16491898356377,8583175.460672563
-113.16582539914823,7967171.474145491
-113.1667318147327,7581584.054912873
-113.1676382303172,7201313.393244455
-113.16854464590166,6690338.278636346
-113.16945106148613,6234099.913882305
-113.17035747707062,5962303.16723127
-113.17126389265509,5711520.84781868
-113.17217030823956,5357002.687235755
-113.17307672382405,5030927.111677117
-113.17398313940852,4822075.88791264
-113.17488955499299,4587375.974360485
-113.17579597057748,4246562.09794714
-113.17670238616195,3957505.457561341
-113.17760880174642,3822102.55925525
-113.17851521733091,3706029.399268576
-113.17942163291538,3516074.841273953
-113.18032804849987,3376573.6517776707
-113.18123446408434,3366078.672681118
-113.18214087966881,3346471.834437366
-113.1830472952533,3217897.2876221794
-113.18395371083777,3092140.590012497
-113.18486012642224,3055366.6164134243
-113.18576654200673,3002090.8836481995
