delta,y
-113.04980420433519,0.0
-113.05071061991966,-13089.540314740414
-113.05161703550415,-54423.218479318355
-113.05252345108862,-81930.38835086972
-113.05342986667311,-48975.02535429792
-113.05433628225758,0.0
-113.05524269784205,-7755.274035886207
-113.05614911342654,-23481.57374372249
-113.05705552901101,2981.1178774475993
-113.05796194459548,30401.58777992362
-113.05886836017997,0.0
-113.05977477576444,-20102.706576048018
-113.0606811913489,-4660.381578556451
-113.0615876069334,19329.680236835207
-113.06249402251787,7294.1287926338555
-113.06340043810233,0.0
-113.06430685368683,20639.86168854436
-113.0652132692713,58366.3328194741
-113.06611968485576,63771.594286175925
-113.06702610044026,79113.43318452533
-113.06793251602473,148166.9627195687
-113.06883893160919,209991.52762217543
-113.06974534719369,198651.17418950133
-113.07065176277816,162537.95448855657
-113.07155817836265,167667.90868189657
-113.07246459394712,173627.30404716302
-113.07337100953158,126581.1268726529
-113.07427742511608,80500.56324988518
-113.07518384070055,99679.53800795453
-113.07609025628501,135633.83359135105
-113.07699667186951,126462.41883410802
-113.07790308745398,118222.42666341964
-113.07880950303844,160546.0591007078
-113.07971591862294,189955.6149036485
-113.0806223342074,149916.96609193686
-113.08152874979187,113531.39974098634
-113.08243516537637,148645.7813585234
-113.08334158096083,179713.79302989363
-113.0842479965453,128421.9210016558
-113.0851544121298,68700.33075588863
-113.08606082771426,90864.75991740124
-113.08696724329873,137734.63715435736
-113.08787365888323,131631.09821180365
-113.08878007446769,133360.25370943407
-113.08968649005219,212777.75536103718
-113.09059290563665,295193.50730673893
-113.09149932122112,302393.92889145063
-113.09240573680562,307769.82540721993
-113.09331215239008,383383.59002494
-113.09421856797455,441660.2438581731
-113.09512498355905,404186.0348397362
-113.09603139914351,370444.87464938336
-113.09693781472798,436025.0023390293
-113.09784423031248,509838.5821059783
-113.09875064589694,503757.6688724898
-113.09965706148141,526577.6977294084
-113.1005634770659,684278.7704281313
-113.10146989265037,870222.5675026516
-113.10237630823484,968479.0729297946
-113.10328272381933,1075280.3749252018
-113.1041891394038,1295240.4592717926
-113.10509555498827,1519887.0496210945
-113.10600197057276,1645104.1762116812
-113.10690838615723,1795926.1812575657
-113.10781480174172,2085076.0806894654
-113.10872121732619,2370838.0573541773
-113.10962763291066,2518195.8597802944
-113.11053404849515,2666543.7531800675
-113.11144046407962,2962582.384188651
-113.11234687966409,3277479.8301857724
-113.11325329524858,3480105.363297695
-113.11415971083305,3722549.1521861814
-113.11506612641752,4145925.042417563
-113.11597254200201,4592868.003333822
-113.11687895758648,4940378.858779127
-113.11778537317095,5400363.614323883
-113.11869178875544,6134914.410098197
-113.11959820433991,6921982.518095707
-113.12050461992438,7592547.701490088
-113.12141103550887,8422067.553201925
-113.12231745109334,9666584.019934017
-113.1232238666778,11131069.479870861
-113.1241302822623,12663478.33732545
-113.12503669784677,14605415.033900468
-113.12594311343126,17234230.858312022
-113.12684952901573,20299639.853267606
-113.1277559446002,23715877.504757036
-113.12866236018469,28115449.191608172
-113.12956877576916,34066476.51443697
-113.13047519135363,41511178.358295605
-113.13138160693812,50811224.67213162
-113.13228802252259,63439974.28087829
-113.13319443810705,80638404.89573994
-113.13410085369155,102634285.73715112
-113.13500726927602,130532761.99260561
-113.13591368486048,166643749.45945257
-113.13682010044498,208914848.18573758
-113.13772651602945,245355245.12674224
-113.13863293161391,259065113.3752396
-113.13953934719841,242211833.39380965
-113.14044576278287,203546258.8767068
-113.14135217836734,160300347.5811942
-113.14225859395184,124309168.7099259
-113.1431650095363,97420703.55193304
-113.1440714251208,77124731.70227073
-113.14497784070527,61867363.488543585
-113.14588425628973,50817851.78649677
-113.14679067187423,42457295.53294518
-113.1476970874587,35547602.41895226
-113.14860350304316,30093837.54469788
-113.14950991862766,26258730.198911108
-113.15041633421212,23401645.342927482
-113.15132274979659,20916577.210575007
-113.15222916538109,18991084.670414623
-113.15313558096555,17812164.052803017
-113.15404199655002,16841161.86967312
-113.15494841213452,15512406.649704823
-113.15585482771898,13975479.569443917
-113.15676124330345,12604061.04454384
-113.15766765888795,11361224.337175393
-113.15857407447241,10122918.81981078
-113.15948049005688,9082844.478709823
-113.16038690564137,8377327.519488338
-113.16129332122584,7758880.50194485
-113.16219973681034,7027090.057327333
-113.1631061523948,6372806.26471478
-113.16401256797927,5969018.966964398
-113.16491898356377,5625423.135886047
-113.16582539914823,5157995.277890038
-113.1667318147327,4719760.29547691
-113.1676382303172,4471705.059816744
-113.16854464590166,4279683.78010892
-113.16945106148613,4010411.5602902137
-113.17035747707062,3793770.7155381422
-113.17126389265509,3733854.860400369
-113.17217030823956,3673655.4967679577
-113.17307672382405,3488688.0073677422
-113.17398313940852,3319126.594375729
-113.17488955499299,3285738.258493988
-113.17579597057748,3258099.732089849
-113.17670238616195,3116558.7524105613
-113.17760880174642,2972260.318050949
-113.17851521733091,2925107.565813278
-113.17942163291538,2864616.071666037
-113.18032804849987,2705237.439283222
-113.18123446408434,2570077.031486165
-113.18214087966881,2556103.5498620835
-113.1830472952533,2556378.471872584
-113.18395371083777,2490732.959478952
-113.18486012642224,2478668.4147275877
-113.18576654200673,2611371.613521169
-113.1866729575912,2779695.5194306066
-113.18757937317567,2901520.4194446253
-113.18848578876016,3103124.622965578
-113.18939220434463,3492814.4047880303
-113.1902986199291,3934801.868099931
-113.19120503551359,4206556.607673496
-113.19211145109806,4222888.655875841
-113.19301786668252,3990985.3838724014
-113.19392428226702,3530528.1581878224
-113.19483069785149,2961546.326805996
-113.19573711343595,2491463.9439948923
-113.19664352902045,2191372.976975159
-113.19754994460492,1939532.0023009956
-113.19845636018941,1666517.603389577
-113.19936277577388,1469208.96959686
-113.20026919135834,1398262.9559918307
-113.20117560694284,1338926.2833433868
-113.2020820225273,1210394.7978931512
-113.20298843811177,1091724.7594321738
-113.20389485369627,1042530.816766996
-113.20480126928074,984953.4175359369
-113.2057076848652,871793.4371218298
-113.2066141004497,791485.7868985326
-113.20752051603417,797103.7001533005
-113.20842693161863,802075.3300859894
-113.20933334720313,748654.511675155
-113.2102397627876,711787.9955610768
-113.21114617837206,736152.1243605273
-113.21205259395656,737194.3604401869
-113.21295900954102,664125.5389724748
-113.21386542512549,598827.1780099756
-113.21477184070999,594462.427327228
-113.21567825629445,574078.164030153
-113.21658467187895,485976.7270543295
-113.21749108746342,405576.2370946787
-113.21839750304788,388735.01859506464
-113.21930391863238,374127.6077587148
-113.22021033421684,321952.75013405806
-113.22111674980131,300715.4067838491
-113.2220231653858,345902.9289925867
-113.22292958097027,376927.6586859848
-113.22383599655474,342293.9652341759
-113.22474241213924,307199.1820759331
-113.2256488277237,314497.29779266834
-113.22655524330817,299239.1651095456
-113.22746165889266,222970.24478440825
-113.22836807447713,154483.29601153254
-113.2292744900616,137031.05889349594
-113.2301809056461,110836.4167536092
-113.23108732123056,43973.40775438759
-113.23199373681503,4421.861662191572
-113.23290015239952,26175.08930421155
-113.23380656798399,37838.35514514928
-113.23471298356849,-1214.3190885109361
-113.23561939915295,-26187.712893559015
-113.23652581473742,0.0
-113.23743223032191,22328.321111985366
-113.23833864590638,-8282.919266765472
-113.23924506149085,-29712.78074284643
-113.24015147707534,-6328.034318616497
-113.24105789265981,0.0
-113.24196430824428,-28396.425129235955
-113.24287072382877,-42603.28777767194
-113.24377713941324,-6728.934078877675
-113.2446835549977,18160.984998129075
-113.2455899705822,0.0
-113.24649638616667,-22892.727104639984
-113.24740280175114,9775.08484825003
-113.24830921733563,31217.112806666526
-113.2492156329201,0.0
