delta,y
-113.04980420433519,0.0
-113.05071061991966,1321.5727818383893
-113.05161703550415,-7078.725366752304
-113.05252345108862,-16123.352758124762
-113.05342986667311,-15537.207379763859
-113.05433628225758,0.0
-113.05524269784205,-2825.2523735756986
-113.05614911342654,-1203.38724619383
-113.05705552901101,-1718.9660674654879
-113.05796194459548,-3904.7010733522475
-113.05886836017997,0.0
-113.05977477576444,-7042.230023493612
-113.0606811913489,-1789.7242715970497
-113.0615876069334,6614.122409508738
-113.06249402251787,9067.232752937474
-113.06340043810233,0.0
-113.06430685368683,11146.831109277147
-113.0652132692713,7726.288048897288
-113.06611968485576,-3092.736730945704
-113.06702610044026,-14055.600658227457
-113.06793251602473,-25418.82724988513
-113.06883893160919,-38682.65445934364
-113.06974534719369,-46852.57118033309
-113.07065176277816,-41960.45713153441
-113.07155817836265,-28768.0878803659
-113.07246459394712,-17849.813025574374
-113.07337100953158,-8078.290706972592
-113.07427742511608,9167.615364754747
-113.07518384070055,31370.301354269846
-113.07609025628501,47867.810294662195
-113.07699667186951,60328.64689687523
-113.07790308745398,82660.54610534006
-113.07880950303844,121179.6060044627
-113.07971591862294,171868.54732189636
-113.0806223342074,234240.09489873005
-113.08152874979187,307896.84163954266
-113.08243516537637,378439.3873236467
-113.08334158096083,429689.8307310948
-113.0842479965453,468991.63273850566
-113.0851544121298,518143.28391520807
-113.08606082771426,580880.4807171128
-113.08696724329873,641618.6142013313
-113.08787365888323,692532.8626310779
-113.08878007446769,737540.5156706768
-113.08968649005219,774528.9456819941
-113.09059290563665,799844.5160855413
-113.09149932122112,824035.4328330678
-113.09240573680562,855254.7328068715
-113.09331215239008,875703.4454320045
-113.09421856797455,865510.8137580252
-113.09512498355905,839863.3732136781
-113.09603139914351,828781.145888724
-113.09693781472798,832813.8913191014
-113.09784423031248,837175.19315557
-113.09875064589694,855449.2844059087
-113.09965706148141,914286.4196548539
-113.1005634770659,1005975.4343315358
-113.10146989265037,1101999.3468119882
-113.10237630823484,1201029.0325006125
-113.10328272381933,1315447.4706241842
-113.1041891394038,1426366.7508522507
-113.10509555498827,1506470.1864859774
-113.10600197057276,1572105.5245809588
-113.10690838615723,1655250.607005865
-113.10781480174172,1741551.8640470318
-113.10872121732619,1799420.202763703
-113.10962763291066,1851832.4643843123
-113.11053404849515,1949558.6207513013
-113.11144046407962,2090632.0268987443
-113.11234687966409,2239078.6022946453
-113.11325329524858,2402738.738200484
-113.11415971083305,2611726.6516455347
-113.11506612641752,2839733.7339092153
-113.11597254200201,3033821.067236678
-113.11687895758648,3204461.7683351263
-113.11778537317095,3398033.3494911287
-113.11869178875544,3604191.2155077234
-113.11959820433991,3787402.841380416
-113.12050461992438,3983233.8815420573
-113.12141103550887,4256481.416298401
-113.12231745109334,4590890.211487204
-113.1232238666778,4933313.531093749
-113.1241302822623,5314316.297239558
-113.12503669784677,5799662.841793521
-113.12594311343126,6357445.565358015
-113.12684952901573,6910128.72279248
-113.1277559446002,7479530.073584423
-113.12866236018469,8131095.197308939
-113.12956877576916,8820901.614526145
-113.13047519135363,9468196.159010768
-113.13138160693812,10133583.175425408
-113.13228802252259,10939104.200547587
-113.13319443810705,11862889.748127533
-113.13410085369155,12820411.662587289
-113.13500726927602,13892558.109540218
-113.13591368486048,15240989.989470726
-113.13682010044498,16862417.97173167
-113.13772651602945,18692642.148102507
-113.13863293161391,20884387.089622617
-113.13953934719841,23680592.26096792
-113.14044576278287,27095509.09110117
-113.14135217836734,31080873.49167861
-113.14225859395184,35933347.22153205
-113.1431650095363,42147691.00641146
-113.1440714251208,50000335.80916843
-113.14497784070527,59800676.36610942
-113.14588425628973,72435734.07380252
-113.14679067187423,89034937.04539123
-113.1476970874587,110223475.8539802
-113.14860350304316,136377474.68533707
-113.14950991862766,167893170.22397664
-113.15041633421212,202972421.7655594
-113.15132274979659,234348520.90202454
-113.15222916538109,250611188.4492781
-113.15313558096555,243845692.27260524
-113.15404199655002,216512247.36350614
-113.15494841213452,179644751.13687527
-113.15585482771898,144242428.62982285
-113.15676124330345,115164339.68233372
-113.15766765888795,92226621.45330964
-113.15857407447241,74208085.68555667
-113.15948049005688,60372217.97896333
-113.16038690564137,49802078.3061931
-113.16129332122584,41407019.64086539
-113.16219973681034,34677787.63805189
-113.1631061523948,29565038.34017392
-113.16401256797927,25746195.03873217
-113.16491898356377,22670165.187265106
-113.16582539914823,20133019.86758935
-113.1667318147327,18190665.292146675
-113.1676382303172,16627300.898021072
-113.16854464590166,15037153.046979956
-113.16945106148613,13336237.022486284
-113.17035747707062,11740591.151243351
-113.17126389265509,10322776.865528744
-113.17217030823956,8984561.835986301
-113.17307672382405,7773493.637029841
-113.17398313940852,6841763.179432605
-113.17488955499299,6146784.470981322
-113.17579597057748,5518080.22962998
-113.17670238616195,4958401.375951972
-113.17760880174642,4584992.03803893
-113.17851521733091,4346694.438119588
-113.17942163291538,4083107.06732411
-113.18032804849987,3795367.382725392
-113.18123446408434,3591811.8450647285
-113.18214087966881,3434905.1813621027
-113.1830472952533,3199153.230740615
-113.18395371083777,2914525.890605451
-113.18486012642224,2706133.6614812887
-113.18576654200673,2554287.150685465
-113.1866729575912,2350221.151376713
-113.18757937317567,2129176.542118082
-113.18848578876016,2017257.8257493975
-113.18939220434463,1999677.3495220565
-113.1902986199291,1960450.3654743698
-113.19120503551359,1899926.2546194035
-113.19211145109806,1900813.6723554144
-113.19301786668252,1928911.4687323973
-113.19392428226702,1877173.4229437835
-113.19483069785149,1766515.338507201
-113.19573711343595,1706010.9059464333
-113.19664352902045,1695163.9422057513
-113.19754994460492,1655727.5646619536
-113.19845636018941,1617560.1590102979
-113.19936277577388,1684018.1935003293
-113.20026919135834,1848651.8990535184
-113.20117560694284,2027891.4214883249
-113.2020820225273,2240915.964163061
-113.20298843811177,2573697.030912333
-113.20389485369627,2981545.7899802974
-113.20480126928074,3291236.9758271393
-113.2057076848652,3387647.5675710253
-113.2066141004497,3265940.666543237
-113.20752051603417,2942649.4851363376
-113.20842693161863,2465175.5492138364
-113.20933334720313,1972663.0735028773
-113.2102397627876,1596654.275937734
-113.21114617837206,1321761.0655083032
-113.21205259395656,1062913.9565732442
-113.21295900954102,828680.5522769263
-113.21386542512549,678227.0175092773
-113.21477184070999,578907.7391517578
-113.21567825629445,455925.40354403085
-113.21658467187895,334913.86877755076
-113.21749108746342,288931.5026098137
-113.21839750304788,288638.78496886825
-113.21930391863238,249276.08498992445
-113.22021033421684,183742.84701023594
-113.22111674980131,166577.57553638692
-113.2220231653858,187097.0669677342
-113.22292958097027,179436.96901959484
-113.22383599655474,158392.90537433833
-113.22474241213924,184165.5037550336
-113.2256488277237,228676.78893139196
-113.22655524330817,216145.98543244597
-113.22746165889266,163630.5626761272
-113.22836807447713,147054.9979294495
-113.2292744900616,160904.98674331003
-113.2301809056461,143219.92603746496
-113.23108732123056,105456.48172160043
-113.23199373681503,105489.08495443602
-113.23290015239952,123675.43425914855
-113.23380656798399,95535.75417746179
-113.23471298356849,36976.666448976495
-113.23561939915295,10679.120397981082
-113.23652581473742,0.0
-113.23743223032191,-18527.947504364332
-113.23833864590638,-64099.04626376397
-113.23924506149085,-64879.3966849299
-113.24015147707534,-24900.74349972428
-113.24105789265981,0.0
-113.24196430824428,-34230.64144903012
-113.24287072382877,-18093.61823014189
-113.24377713941324,25278.715755052108
-113.2446835549977,28230.96144946161
-113.2455899705822,0.0
-113.24649638616667,22702.208388939383
-113.24740280175114,57813.6290485526
-113.24830921733563,45820.51130121539
-113.2492156329201,0.0
