delta,y
-113.04980420433519,0.0
-113.05071061991966,22144.480575787646
-113.05161703550415,45894.93374190907
-113.05252345108862,17059.590161450586
-113.05342986667311,-17488.843732182228
-113.05433628225758,0.0
-113.05524269784205,44444.84650423814
-113.05614911342654,26303.546049002005
-113.05705552901101,-11452.00674318234
-113.05796194459548,-6040.946882599208
-113.05886836017997,0.0
-113.05977477576444,-36167.47304583472
-113.0606811913489,-80810.60023980802
-113.0615876069334,-61414.15306870564
-113.06249402251787,-14135.324804597156
-113.06340043810233,0.0
-113.06430685368683,-6455.279929622007
-113.0652132692713,55785.21237590504
-113.06611968485576,138959.3183714703
-113.06702610044026,176162.52115569153
-113.06793251602473,208625.32184852415
-113.06883893160919,294472.29828186095
-113.06974534719369,379389.9107684144
-113.07065176277816,390433.0747839786
-113.07155817836265,370187.140965738
-113.07246459394712,386902.7154491346
-113.07337100953158,403855.46130679623
-113.07427742511608,370345.58839467156
-113.07518384070055,345360.0865048337
-113.07609025628501,393498.95991739724
-113.07699667186951,454574.20044260204
-113.07790308745398,452920.11626833974
-113.07880950303844,434731.585950454
-113.07971591862294,458825.35430693004
-113.0806223342074,460107.84443829616
-113.08152874979187,368573.9882375621
-113.08243516537637,255645.31295605146
-113.08334158096083,212146.33021235338
-113.0842479965453,190079.67307031964
-113.0851544121298,116626.9895277347
-113.08606082771426,50006.35026535095
-113.08696724329873,63761.362187711435
-113.08787365888323,92499.00145346389
-113.08878007446769,56246.594011746405
-113.08968649005219,22623.23993086454
-113.09059290563665,80693.90902427043
-113.09149932122112,172158.74182531916
-113.09240573680562,214472.63811628366
-113.09331215239008,267493.35909704154
-113.09421856797455,405623.2354165972
-113.09512498355905,552087.7167749363
-113.09603139914351,617854.8401154267
-113.09693781472798,675443.0743677837
-113.09784423031248,814758.9864392232
-113.09875064589694,961868.5908381947
-113.09965706148141,1024886.1466449229
-113.1005634770659,1075868.400323199
-113.10146989265037,1195481.5462445393
-113.10237630823484,1287573.5922344124
-113.10328272381933,1251237.2305730071
-113.1041891394038,1185092.1977132142
-113.10509555498827,1212455.6127168848
-113.10600197057276,1261933.6940425937
-113.10690838615723,1236531.9393257587
-113.10781480174172,1232592.7155989506
-113.10872121732619,1362568.7396879657
-113.10962763291066,1532002.2080720558
-113.11053404849515,1629881.3999636376
-113.11144046407962,1762651.2228872543
-113.11234687966409,2051612.2880931757
-113.11325329524858,2382149.7925047697
-113.11415971083305,2611166.6391158756
-113.11506612641752,2831138.7117507607
-113.11597254200201,3164135.964343437
-113.11687895758648,3504685.9026319464
-113.11778537317095,3751471.4368961905
-113.11869178875544,4071500.685963554
-113.11959820433991,4628091.792752316
-113.12050461992438,5274661.03485269
-113.12141103550887,5835465.302535803
-113.12231745109334,6442684.804629003
-113.1232238666778,7259796.312572263
-113.1241302822623,8146897.384956837
-113.12503669784677,8973054.515371844
-113.12594311343126,9970028.245701494
-113.12684952901573,11374754.662651435
-113.1277559446002,13034569.155795118
-113.12866236018469,14798679.195339339
-113.12956877576916,16949955.22719393
-113.13047519135363,19775402.169987764
-113.13138160693812,23117773.008619588
-113.13228802252259,26908549.354126234
-113.13319443810705,31707961.635497015
-113.13410085369155,38114405.13010414
-113.13500726927602,46186851.50242671
-113.13591368486048,56193968.903827816
-113.13682010044498,69298167.14393714
-113.13772651602945,86626108.92882554
-113.13863293161391,108534502.04151075
-113.13953934719841,135890183.33520463
-113.14044576278287,170275621.09256738
-113.14135217836734,209562822.75825858
-113.14225859395184,243289303.75647202
-113.1431650095363,256583361.53698778
-113.1440714251208,241911247.88148397
-113.14497784070527,206152394.36008772
-113.14588425628973,164529883.49787587
-113.14679067187423,128582333.51922266
-113.1476970874587,101108255.71537414
-113.14860350304316,80245301.99062338
-113.14950991862766,64399436.26654574
-113.15041633421212,52721973.62512128
-113.15132274979659,43937375.34899669
-113.15222916538109,36849285.685371295
-113.15313558096555,31206083.60271071
-113.15404199655002,27071149.38053272
-113.15494841213452,23986752.546172827
-113.15585482771898,21420955.359198958
-113.15676124330345,19393641.545994658
-113.15766765888795,18020838.763244998
-113.15857407447241,16926210.089100245
-113.15948049005688,15639338.120653396
-113.16038690564137,14181090.36071717
-113.16129332122584,12810050.159462104
-113.16219973681034,11540819.32269713
-113.1631061523948,10301861.472038154
-113.16401256797927,9244957.968512606
-113.16491898356377,8517984.193249237
-113.16582539914823,7973742.007029605
-113.1667318147327,7407751.843120277
-113.1676382303172,6859946.118959744
-113.16854464590166,6430157.334743161
-113.16945106148613,6031016.875540625
-113.17035747707062,5570726.334234816
-113.17126389265509,5165581.006730603
-113.17217030823956,4937028.352470856
-113.17307672382405,4786175.922302089
-113.17398313940852,4575245.866315767
-113.17488955499299,4350758.665775157
-113.17579597057748,4195623.614265823
-113.17670238616195,4036433.7590693785
-113.17760880174642,3785778.483694721
-113.17851521733091,3517790.2408976303
-113.17942163291538,3326791.949187917
-113.18032804849987,3155136.5567572867
-113.18123446408434,2921502.9081707704
-113.18214087966881,2683999.120346528
-113.1830472952533,2526015.412656266
-113.18395371083777,2408416.609406178
-113.18486012642224,2275387.66045406
-113.18576654200673,2184736.7353321854
-113.1866729575912,2198798.6887817746
-113.18757937317567,2259387.228940038
-113.18848578876016,2297240.4703285834
-113.18939220434463,2359479.8025944512
-113.1902986199291,2511166.8550832253
-113.19120503551359,2714365.019380514
-113.19211145109806,2921254.3978438326
-113.19301786668252,3189797.921006312
-113.19392428226702,3583636.1335061244
-113.19483069785149,4023739.951593663
-113.19573711343595,4338297.826028022
-113.19664352902045,4407757.792297923
-113.19754994460492,4203092.842029633
-113.19845636018941,3765592.8215321144
-113.19936277577388,3219960.585701581
-113.20026919135834,2727750.732901535
-113.20117560694284,2353749.569397119
-113.2020820225273,2035037.4165149417
-113.20298843811177,1717849.7819073584
-113.20389485369627,1438823.1793205324
-113.20480126928074,1231893.1232831217
-113.2057076848652,1058819.9281217377
-113.2066141004497,892325.1527378015
-113.20752051603417,775068.8121907144
-113.20842693161863,733061.6180229809
-113.20933334720313,714762.7380315058
-113.2102397627876,675137.4846849627
-113.21114617837206,638673.1635130486
-113.21205259395656,623315.8018689221
-113.21295900954102,585620.9753178448
-113.21386542512549,502315.4685591912
-113.21477184070999,428898.89101954666
-113.21567825629445,415393.2658536534
-113.21658467187895,432636.90660874255
-113.21749108746342,437805.32582510356
-113.21839750304788,444793.9724887912
-113.21930391863238,474031.333257869
-113.22021033421684,497286.16548883973
-113.22111674980131,488302.5674685959
-113.2220231653858,470817.87583480857
-113.22292958097027,465613.3089489135
-113.22383599655474,444427.677290699
-113.22474241213924,383505.2872642623
-113.2256488277237,311078.04036849004
-113.22655524330817,258148.5276677889
-113.22746165889266,211367.62223697756
-113.22836807447713,154028.8593073486
-113.2292744900616,105321.07181739097
-113.2301809056461,81731.39549752558
-113.23108732123056,65140.6280619055
-113.23199373681503,41925.49358079408
-113.23290015239952,29069.091469250387
-113.23380656798399,33343.15704593598
-113.23471298356849,30479.25220964558
-113.23561939915295,10890.376698554377
-113.23652581473742,0.0
-113.23743223032191,20043.81878832355
-113.23833864590638,33967.04952820251
-113.23924506149085,25275.32497566333
-113.24015147707534,11089.71728620911
-113.24105789265981,0.0
-113.24196430824428,-368.4373122120742
-113.24287072382877,-16273.589160046191
-113.24377713941324,-19986.74968855304
-113.2446835549977,-5228.700740740867
-113.2455899705822,0.0
-113.24649638616667,-34115.1231194213
-113.24740280175114,-50053.090314214
-113.24830921733563,-29996.23838745011
-113.2492156329201,0.0
