delta,y
-62.150037058036744,0.0
-62.150943473621226,53701.727653367096
-62.15184988920569,-20618.564312963514
-62.152756304790174,-101856.83273892035
-62.153662720374655,-61592.69477726298
-62.15456913595912,0.0
-62.1554755515436,-39341.98888097401
-62.156381967128084,-65585.42293236917
-62.15728838271255,15007.876811006572
-62.15819479829703,73667.26354006003
-62.15910121388151,0.0
-62.160007629465994,-52099.58635848272
-62.16091404505046,17907.833129895153
-62.16182046063494,87731.8678877647
-62.16272687621942,38432.531768572284
-62.16363329180389,0.0
-62.16453970738837,110179.58389653405
-62.16544612297285,240189.4519089174
-62.16635253855732,252907.90009165998
-62.1672589541418,252956.5379420037
-62.16816536972628,356323.33922628686
-62.16907178531076,445224.3978146757
-62.16997820089523,407832.9063753737
-62.17088461647971,383758.3766692416
-62.17179103206419,512696.2790569088
-62.17269744764866,673649.0054903233
-62.17360386323314,727868.7488428068
-62.17451027881762,779030.5495434152
-62.17541669440209,933860.9642078993
-62.17632310998657,1050823.901249431
-62.17722952557105,993267.0951868442
-62.17813594115553,890733.9308971569
-62.17904235674,886300.1382363231
-62.17994877232448,873012.6383539238
-62.18085518790896,747166.4308814835
-62.18176160349343,666851.1298964503
-62.18266801907791,780739.9443832496
-62.18357443466239,950722.3734947375
-62.18448085024687,1020969.9009109291
-62.18538726583134,1108634.077269064
-62.18629368141582,1348325.8908264074
-62.1872000970003,1606706.951662331
-62.18810651258477,1735232.333275651
-62.18901292816925,1845295.3394544926
-62.18991934375373,2045131.464259261
-62.190825759338196,2171824.378574864
-62.19173217492268,2084257.4132793108
-62.19263859050716,1959398.9221065384
-62.19354500609164,1997384.4314213395
-62.194451421676106,2095176.4906658414
-62.19535783726059,2110049.5605848497
-62.19626425284507,2171737.0850730194
-62.197170668429536,2422187.8937861044
-62.19807708401402,2716420.673080178
-62.1989834995985,2893193.2253921605
-62.199889915182965,3069974.9333480215
-62.200796330767446,3361077.2025649664
-62.20170274635193,3591034.169334084
-62.20260916193641,3611284.4528288804
-62.203515577520875,3614985.4282284146
-62.204421993105356,3809500.9346934957
-62.20532840868984,4062858.7234716997
-62.206234824274304,4198151.358104486
-62.207141239858785,4332508.398289261
-62.208047655443266,4584255.923012533
-62.20895407102773,4758125.438675378
-62.209860486612214,4683407.947646793
-62.210766902196696,4563026.809231926
-62.21167331778118,4628220.04587337
-62.212579733365644,4755323.967610926
-62.213486148950125,4786997.260253704
-62.214392564534606,4909822.821801903
-62.21529898011907,5328896.89693949
-62.216205395703554,5881750.061355742
-62.217111811288035,6356772.109679532
-62.2180182268725,6872986.124248119
-62.21892464245698,7562545.151565559
-62.219831058041464,8220591.598948456
-62.220737473625945,8675854.908572849
-62.22164388921041,9165970.150878552
-62.22255030479489,9931269.589934396
-62.223456720379374,10783189.839060595
-62.22436313596384,11492204.779477563
-62.22526955154832,12238997.085837064
-62.226175967132804,13246326.57220468
-62.22708238271727,14332056.645758126
-62.22798879830175,15262362.582838915
-62.22889521388623,16155489.811754223
