delta,y
-113.04980420433519,0.0
-113.05071061991966,-28123.283381865454
-113.05161703550415,-41767.87517988095
-113.05252345108862,-30898.74069787543
-113.05342986667311,-14622.6437824768
-113.05433628225758,0.0
-113.05524269784205,24294.045889240413
-113.05614911342654,49784.27469531018
-113.05705552901101,48597.030913440605
-113.05796194459548,21358.357533436545
-113.05886836017997,0.0
-113.05977477576444,-2496.6874356542685
-113.0606811913489,-11570.289798363665
-113.0615876069334,-30126.312513239594
-113.06249402251787,-29151.712992320492
-113.06340043810233,0.0
-113.06430685368683,25660.823659999878
-113.0652132692713,41442.291394929634
-113.06611968485576,68502.27801270678
-113.06702610044026,109570.76951741241
-113.06793251602473,134635.40552488866
-113.06883893160919,135387.2099570057
-113.06974534719369,139917.27366613725
-113.07065176277816,152884.9392417539
-113.07155817836265,137384.7693513889
-113.07246459394712,80627.69377829669
-113.07337100953158,21425.670796194434
-113.07427742511608,-14036.485280525434
-113.07518384070055,-47229.9612598572
-113.07609025628501,-91266.33716755107
-113.07699667186951,-119404.78328528456
-113.07790308745398,-120050.44991410247
-113.07880950303844,-123168.23029975305
-113.07971591862294,-138807.0793599121
-113.0806223342074,-129833.89112225888
-113.08152874979187,-80727.97918264431
-113.08243516537637,-32113.48891029734
-113.08334158096083,-11032.168813946948
-113.0842479965453,9724.559391979885
-113.0851544121298,46821.506337194645
-113.08606082771426,69846.38213958038
-113.08696724329873,69550.45410559716
-113.08787365888323,90026.95738349418
-113.08878007446769,146885.3594402768
-113.08968649005219,186502.983029977
-113.09059290563665,176401.46013467264
-113.09149932122112,162066.97662439366
-113.09240573680562,182207.4574017878
-113.09331215239008,205824.6130707907
-113.09421856797455,210723.23256608396
-113.09512498355905,243928.9995240693
-113.09603139914351,339958.99815602176
-113.09693781472798,456814.62349710293
-113.09784423031248,556617.8581886578
-113.09875064589694,668337.0455695081
-113.09965706148141,805866.6507255808
-113.1005634770659,913221.7221161127
-113.10146989265037,964083.3133982924
-113.10237630823484,1024893.3579554644
-113.10328272381933,1141182.6113152108
-113.1041891394038,1253880.6343791294
-113.10509555498827,1308447.6448160238
-113.10600197057276,1347989.0148443084
-113.10690838615723,1413171.8950041495
-113.10781480174172,1457480.4127948983
-113.10872121732619,1457722.7689354187
-113.10962763291066,1498101.859596884
-113.11053404849515,1639962.0970669608
-113.11144046407962,1818657.6142899538
-113.11234687966409,1974455.5817099079
-113.11325329524858,2162741.7526719347
-113.11415971083305,2419534.304435618
-113.11506612641752,2651892.236434906
-113.11597254200201,2793024.9360270854
-113.11687895758648,2929190.1868747184
-113.11778537317095,3132877.5472773616
-113.11869178875544,3318148.023884727
-113.11959820433991,3417945.0509695928
-113.12050461992438,3550377.549433061
