delta,y
-113.04980420433519,0.0
-113.05071061991966,-11654.903291178212
-113.05161703550415,-357.49030165150907
-113.05252345108862,-6085.410680541681
-113.05342986667311,-26591.229721168245
-113.05433628225758,0.0
-113.05524269784205,22422.76432848619
-113.05614911342654,39330.04354059351
-113.05705552901101,20889.838249277964
-113.05796194459548,5410.169901101006
-113.05886836017997,0.0
-113.05977477576444,9539.891641847149
-113.0606811913489,-20532.969597517425
-113.0615876069334,-28017.390922187915
-113.06249402251787,-1050.825612988614
-113.06340043810233,0.0
-113.06430685368683,-46327.48082257161
-113.0652132692713,-69983.41422714351
-113.06611968485576,-53281.47037005116
-113.06702610044026,-56221.55885936343
-113.06793251602473,-98982.54503948597
-113.06883893160919,-126274.04535708611
-113.06974534719369,-120816.38606645347
-113.07065176277816,-135670.81941926805
-113.07155817836265,-181090.57572933013
-113.07246459394712,-198047.145773959
-113.07337100953158,-177360.5349478835
-113.07427742511608,-183094.22294290247
-113.07518384070055,-222736.62418285414
-113.07609025628501,-219307.767576984
-113.07699667186951,-150166.53205624636
-113.07790308745398,-87059.91678204015
-113.07880950303844,-59853.30544420943
-113.07971591862294,-10940.601345538278
-113.0806223342074,73409.53872926749
-113.08152874979187,120734.89712904184
-113.08243516537637,108929.04264066665
-113.08334158096083,113154.33320696151
-113.0842479965453,167846.01405719673
-113.0851544121298,213320.47746273084
-113.08606082771426,227232.18825603178
-113.08696724329873,273343.4885676963
-113.08787365888323,368521.9775589889
-113.08878007446769,438201.1848937108
-113.08968649005219,457096.0081637536
-113.09059290563665,496609.5817841283
-113.09149932122112,580010.4271435388
-113.09240573680562,632384.4675677717
-113.09331215239008,628938.6102345441
-113.09421856797455,647644.0653310734
-113.09512498355905,717757.309658428
-113.09603139914351,764521.6155100137
-113.09693781472798,762468.5169652656
-113.09784423031248,789923.1608161308
-113.09875064589694,869461.2775777467
-113.09965706148141,912540.2124231751
-113.1005634770659,889633.7131105652
-113.10146989265037,895545.2120958784
-113.10237630823484,976712.6650957668
-113.10328272381933,1056843.2761100673
-113.1041891394038,1103854.316797964
-113.10509555498827,1199425.3493127422
-113.10600197057276,1366158.7146473634
-113.10690838615723,1500277.7508352306
-113.10781480174172,1557361.8927296656
-113.10872121732619,1627680.4829068463
-113.10962763291066,1744306.3012670178
-113.11053404849515,1801647.462649579
-113.11144046407962,1754576.3824036662
-113.11234687966409,1711315.5319658858
-113.11325329524858,1738450.2812811602
-113.11415971083305,1769926.7190483804
-113.11506612641752,1802538.00610499
-113.11597254200201,1971122.4155915878
-113.11687895758648,2322014.111373973
-113.11778537317095,2721642.9847382586
-113.11869178875544,3096339.689948591
-113.11959820433991,3540711.191006071
-113.12050461992438,4079828.6122792033
-113.12141103550887,4568913.7870410355
-113.12231745109334,4957948.82419426
-113.1232238666778,5406029.4597628685
-113.1241302822623,5996777.926369319
-113.12503669784677,6602005.836961344
-113.12594311343126,7169051.018545639
-113.12684952901573,7857101.811914658
-113.1277559446002,8728521.285116624
-113.12866236018469,9610648.27146535
-113.12956877576916,10444098.339899797
-113.13047519135363,11446045.811867218
-113.13138160693812,12735216.154764362
-113.13228802252259,14149603.235586075
-113.13319443810705,15655713.45279569
-113.13410085369155,17554974.18681646
-113.13500726927602,20045027.463687964
-113.13591368486048,23016065.704340193
-113.13682010044498,26575358.395668086
-113.13772651602945,31302094.536894053
-113.13863293161391,37674100.41656267
-113.13953934719841,45828310.39432161
-113.14044576278287,56296772.88125338
-113.14135217836734,70303645.1899936
-113.14225859395184,88844568.42568101
-113.1431650095363,112321233.99869265
-113.1440714251208,141548612.47750318
-113.14497784070527,177178765.50692496
-113.14588425628973,215655934.00381032
-113.14679067187423,246453500.68035483
-113.1476970874587,256894555.45046628
-113.14860350304316,241990305.34727123
-113.14950991862766,208830512.48469102
-113.15041633421212,170453412.36736855
-113.15132274979659,136314485.567945
-113.15222916538109,108992517.14383426
-113.15313558096555,87551628.81309484
-113.15404199655002,70994567.10349597
-113.15494841213452,58497481.62127033
-113.15585482771898,48827367.3162447
-113.15676124330345,40970008.3113275
-113.15766765888795,34683138.70779903
-113.15857407447241,29885958.98427992
-113.15948049005688,26107271.20989453
-113.16038690564137,22921422.237501796
-113.16129332122584,20351847.628917117
-113.16219973681034,18434970.842477202
-113.1631061523948,16817946.581107154
-113.16401256797927,15136054.330745604
-113.16491898356377,13434051.00590574
-113.16582539914823,11914328.424668022
-113.1667318147327,10571212.639252754
-113.1676382303172,9335976.422582097
-113.16854464590166,8303646.089805183
-113.16945106148613,7549991.274020218
-113.17035747707062,6936535.946988994
-113.17126389265509,6318999.772702191
-113.17217030823956,5764447.85517008
-113.17307672382405,5378230.425559846
-113.17398313940852,5098477.07786464
-113.17488955499299,4835682.202703221
-113.17579597057748,4642921.884430489
-113.17670238616195,4575281.570981081
-113.17760880174642,4530449.111003579
-113.17851521733091,4388259.101903578
-113.17942163291538,4176440.5060916543
-113.18032804849987,3958969.329084449
-113.18123446408434,3693463.2536571827
-113.18214087966881,3338742.236882315
-113.1830472952533,2981304.5412454493
-113.18395371083777,2717049.1957759373
-113.18486012642224,2512017.5678510177
-113.18576654200673,2302661.2388889976
-113.1866729575912,2129872.5990798823
-113.18757937317567,2052388.948056494
-113.18848578876016,2023969.0751690643
-113.18939220434463,1975312.1895256804
-113.1902986199291,1931323.0132143248
-113.19120503551359,1936543.0485355393
-113.19211145109806,1949400.4768096479
-113.19301786668252,1922124.8616165905
-113.19392428226702,1908833.9972478244
-113.19483069785149,1985430.1713824053
-113.19573711343595,2132095.703397613
-113.19664352902045,2300449.4364089444
-113.19754994460492,2528164.882495586
-113.19845636018941,2869557.3015920203
-113.19936277577388,3254814.3698763396
-113.20026919135834,3521687.221617014
-113.20117560694284,3563184.531459669
-113.2020820225273,3375852.5190139767
-113.20298843811177,3012115.3696824964
-113.20389485369627,2566338.912426403
-113.20480126928074,2163983.68741177
-113.2057076848652,1876985.5361296027
-113.2066141004497,1668596.3203088632
-113.20752051603417,1475239.7902218518
-113.20842693161863,1301745.1555119539
-113.20933334720313,1181062.9641064801
-113.2102397627876,1094694.0036618297
-113.21114617837206,1005110.372941375
-113.21205259395656,924230.9118068346
-113.21295900954102,879850.0528293886
-113.21386542512549,852414.0713524609
-113.21477184070999,811903.0211978066
-113.21567825629445,779973.7635609601
-113.21658467187895,788297.5997532181
-113.21749108746342,809311.2727334357
-113.21839750304788,794522.8550819682
-113.21930391863238,751238.5291672612
-113.22021033421684,718267.7871114259
-113.22111674980131,694807.2607991043
-113.2220231653858,655098.3860039986
-113.22292958097027,605753.4488208066
-113.22383599655474,567705.7271850848
-113.22474241213924,526583.919664962
-113.2256488277237,459072.2404686196
-113.22655524330817,383789.7057053505
-113.22746165889266,330155.05827287084
-113.22836807447713,282608.76782517135
-113.2292744900616,212025.2723164619
-113.2301809056461,136868.91642094264
-113.23108732123056,95519.34342054871
-113.23199373681503,80906.31937469984
-113.23290015239952,59203.46216218942
-113.23380656798399,31312.925660159555
-113.23471298356849,19673.94013917551
-113.23561939915295,16020.242071365938
-113.23652581473742,0.0
-113.23743223032191,-27722.780226483243
-113.23833864590638,-17840.681436149986
-113.23924506149085,13001.791609452688
-113.24015147707534,20716.503639572533
-113.24105789265981,0.0
-113.24196430824428,26874.533429986564
-113.24287072382877,46747.87338462577
-113.24377713941324,36767.95220806997
-113.2446835549977,9124.621086115716
-113.2455899705822,0.0
-113.24649638616667,-4206.22140498471
-113.24740280175114,-11337.67993424111
-113.24830921733563,-18087.8654891717
-113.2492156329201,0.0
