delta,y
-113.04980420433519,0.0
-113.05071061991966,-2303.671687728085
-113.05161703550415,21990.87620139346
-113.05252345108862,23176.111983913084
-113.05342986667311,1158.5524924209458
-113.05433628225758,0.0
-113.05524269784205,25055.607452624303
-113.05614911342654,18539.763630793983
-113.05705552901101,-14275.387629779609
-113.05796194459548,-20998.26906917832
-113.05886836017997,0.0
-113.05977477576444,-505.98239278263645
-113.0606811913489,-25072.467709859455
-113.0615876069334,-28252.08138696049
-113.06249402251787,-6565.81353760483
-113.06340043810233,0.0
-113.06430685368683,-33221.01837888136
-113.0652132692713,-39591.60519806082
-113.06611968485576,-30631.52410111745
-113.06702610044026,-57281.36586316387
-113.06793251602473,-112827.37231978495
-113.06883893160919,-141444.23494410247
-113.06974534719369,-140387.856399975
-113.07065176277816,-158589.76231713622
-113.07155817836265,-197720.51281303112
-113.07246459394712,-212716.31571413903
-113.07337100953158,-207665.32512144616
-113.07427742511608,-231269.01785617578
-113.07518384070055,-278351.8528540049
-113.07609025628501,-295817.9179134713
-113.07699667186951,-284620.395240603
-113.07790308745398,-294402.0720736823
-113.07880950303844,-319316.25273260404
-113.07971591862294,-303676.99036013643
-113.0806223342074,-250058.25764253497
-113.08152874979187,-215794.80941296602
-113.08243516537637,-202865.36291609763
-113.08334158096083,-159791.49803579296
-113.0842479965453,-93086.7971359145
-113.0851544121298,-65089.12414647633
-113.08606082771426,-77749.70508351648
-113.08696724329873,-70325.34127046366
-113.08787365888323,-36048.48042972316
-113.08878007446769,-27633.200790159754
-113.08968649005219,-43481.57432972401
-113.09059290563665,-25950.519433691632
-113.09149932122112,20697.736552227638
-113.09240573680562,29274.97595856269
-113.09331215239008,-5985.51096520375
-113.09421856797455,-24198.392519068904
-113.09512498355905,-24991.960354412906
-113.09603139914351,-77053.42980519694
-113.09693781472798,-187373.84230305557
-113.09784423031248,-285438.37894067017
-113.09875064589694,-350611.4919592361
-113.09965706148141,-429672.5660181907
-113.1005634770659,-513795.75839347637
-113.10146989265037,-528087.7912428563
-113.10237630823484,-463185.3822782616
-113.10328272381933,-390309.7873184355
-113.1041891394038,-328067.9912608984
-113.10509555498827,-224209.5319933315
-113.10600197057276,-86044.64802590874
-113.10690838615723,8171.19195424451
-113.10781480174172,50178.00247397972
-113.10872121732619,117543.59555430838
-113.10962763291066,226500.70088143216
-113.11053404849515,308017.881204786
-113.11144046407962,353295.6525025052
-113.11234687966409,439111.33920715004
-113.11325329524858,581729.2176500129
-113.11415971083305,710839.7459938207
-113.11506612641752,815251.9880629748
-113.11597254200201,964540.3024013328
-113.11687895758648,1158077.6082123579
-113.11778537317095,1307592.5191926113
-113.11869178875544,1399589.2288494578
-113.11959820433991,1516255.344526523
-113.12050461992438,1667455.7023849403
-113.12141103550887,1772674.0725230966
-113.12231745109334,1842844.8892161697
-113.1232238666778,1999963.3150482324
-113.1241302822623,2273826.57169987
-113.12503669784677,2561379.632987005
