delta,y
-113.04980420433519,0.0
-113.05071061991966,29860.1209289782
-113.05161703550415,32160.97092636698
-113.05252345108862,9194.537956133718
-113.05342986667311,2159.1180617761565
-113.05433628225758,0.0
-113.05524269784205,-6583.98508686549
-113.05614911342654,-36415.90123683133
-113.05705552901101,-32605.329750661156
-113.05796194459548,-2842.838242910104
-113.05886836017997,0.0
-113.05977477576444,-19976.9966948909
-113.0606811913489,-6856.437499820022
-113.0615876069334,26254.532432473497
-113.06249402251787,23791.88867343322
-113.06340043810233,0.0
-113.06430685368683,16934.599175338284
-113.0652132692713,62924.69304784632
-113.06611968485576,75090.47277904837
-113.06702610044026,60277.8492832731
-113.06793251602473,79537.70114994829
-113.06883893160919,126334.91508573422
-113.06974534719369,139258.60138402972
-113.07065176277816,121289.35475692246
-113.07155817836265,127484.96784194664
-113.07246459394712,150434.3055628466
-113.07337100953158,137897.98606648925
-113.07427742511608,105755.43312588742
-113.07518384070055,112209.08330106398
-113.07609025628501,141784.1895293896
-113.07699667186951,139218.58129180875
-113.07790308745398,133131.22876683308
-113.07880950303844,196272.80875944078
-113.07971591862294,307941.99256375874
-113.0806223342074,386986.57716100407
-113.08152874979187,433299.63210747845
-113.08243516537637,502264.74161550356
-113.08334158096083,571570.0788183855
-113.0842479965453,576323.6380739395
-113.0851544121298,546475.5924436814
-113.08606082771426,564568.7129979755
-113.08696724329873,617011.5491746741
-113.08787365888323,632102.665747688
-113.08878007446769,630640.2788444267
-113.08968649005219,688788.0399672128
-113.09059290563665,787902.0332503137
-113.09149932122112,853251.8956283956
-113.09240573680562,900383.2791871026
-113.09331215239008,986541.5121398375
-113.09421856797455,1064235.123981742
-113.09512498355905,1048645.0703416667
-113.09603139914351,983420.8367287843
-113.09693781472798,971522.3396046455
-113.09784423031248,993639.0311114975
-113.09875064589694,967885.1489360431
-113.09965706148141,929421.0443086636
-113.1005634770659,967354.385734691
-113.10146989265037,1046380.3204159545
-113.10237630823484,1082697.267433065
-113.10328272381933,1130470.4134283965
-113.1041891394038,1293351.014190102
-113.10509555498827,1521627.077177893
-113.10600197057276,1704500.359981605
-113.10690838615723,1886193.0860326474
-113.10781480174172,2172108.347912949
-113.10872121732619,2503417.758573207
-113.10962763291066,2754532.3593009836
-113.11053404849515,2966274.8580791
-113.11144046407962,3242912.6104593533
-113.11234687966409,3517222.1060979078
-113.11325329524858,3676624.4866484506
-113.11415971083305,3820025.41099584
-113.11506612641752,4115559.5553704407
-113.11597254200201,4509594.600529425
-113.11687895758648,4861211.668224258
-113.11778537317095,5244169.350871182
-113.11869178875544,5807039.7464261
-113.11959820433991,6461246.558766921
-113.12050461992438,7037068.175209447
-113.12141103550887,7615501.422877868
-113.12231745109334,8362498.007494625
-113.1232238666778,9190879.236872293
-113.1241302822623,9959976.186474793
-113.12503669784677,10834039.63854089
-113.12594311343126,12035847.360659275
-113.12684952901573,13447896.197992418
-113.1277559446002,14910865.227176772
-113.12866236018469,16688721.261129986
-113.12956877576916,19133895.042696215
-113.13047519135363,22160338.796365507
-113.13138160693812,25633074.690130018
-113.13228802252259,29989853.347655732
-113.13319443810705,35840171.06109756
-113.13410085369155,43350627.24445803
-113.13500726927602,52844563.633814596
-113.13591368486048,65564691.40533994
-113.13682010044498,82864648.45479114
-113.13772651602945,105234208.27705716
-113.13863293161391,133297715.46658756
-113.13953934719841,168352181.9181808
-113.14044576278287,208542238.43325758
-113.14135217836734,244022050.88052204
