delta,y
-62.77999588924817,0.0
-62.78090230483264,-101823.63580408692
-62.78180872041712,-185572.27428357024
-62.7827151360016,-473930.42518449854
-62.783621551586066,-510147.96973668225
-62.78452796717055,0.0
-62.78543438275503,274204.12685623765
-62.78634079833951,232175.1467411965
-62.787247213923976,174871.82900626585
-62.78815362950846,269762.5451602712
-62.78906004509294,0.0
-62.789966460677405,-161671.58385981247
-62.790872876261886,-417719.42423260026
-62.79177929184637,-305179.45953105204
-62.792685707430834,-111353.37038647104
-62.793592123015316,0.0
-62.7944985385998,148883.6999340728
-62.79540495418428,1051010.7583125504
-62.796311369768745,2111570.241435512
-62.797217785353226,2831927.382812863
-62.79812420093771,3512133.2961798254
-62.799030616522174,4360565.736988744
-62.799937032106655,4897665.892521973
-62.800843447691136,4912309.432101137
-62.8017498632756,5004743.93532018
-62.802656278860084,5483006.524525449
-62.803562694444565,5721985.642402534
-62.804469110029046,5304481.830110424
-62.80537552561351,4762945.715706406
-62.806281941197994,4495960.26054869
-62.807188356782476,4029527.1093436684
-62.80809477236694,3082983.957758258
-62.809001187951424,2272803.8100117734
-62.809907603535905,2008885.7229703702
-62.81081401912037,1791960.5842164084
-62.81172043470485,1336285.8565453626
-62.812626850289334,1228464.8592853108
-62.813533265873815,1719434.4703947203
-62.81443968145828,2086287.2643793914
-62.81534609704276,2009606.9903971571
-62.816252512627244,2345498.7083674837
-62.81715892821171,3668529.111375369
-62.81806534379619,5280284.532047357
-62.81897175938067,6521664.9357046485
-62.819878174965154,7788644.201070968
-62.82078459054962,9357283.145339154
-62.8216910061341,10539136.836672049
-62.822597421718584,10985976.983551087
-62.82350383730305,11537976.836125007
-62.82441025288753,12793924.189085575
-62.82531666847201,14130110.623338146
-62.82622308405648,15084493.784259755
-62.82712949964096,16337761.813000955
-62.82803591522544,18313632.537704747
-62.82894233080992,20202778.92221029
-62.82984874639439,21424415.037830237
-62.83075516197887,22663568.536152042
-62.83166157756335,24422829.00216204
-62.83256799314782,25993413.747422874
-62.8334744087323,26924254.323849864
-62.83438082431678,28020175.942625377
-62.83528723990125,29793260.158536375
-62.83619365548573,31447525.19836219
-62.83710007107021,32489552.953466043
-62.83800648665469,33749979.96550518
-62.83891290223916,35689804.40489887
-62.83981931782364,37371196.83411477
-62.84072573340812,38293391.32240177
-62.84163214899259,39542022.44902982
-62.84253856457707,41916216.940176904
-62.84344498016155,44688348.75650666
-62.84435139574602,47430034.42372395
-62.8452578113305,51160213.236196876
-62.84616422691498,56358699.02541943
-62.84707064249946,61789726.952141576
-62.84797705808393,66686888.88780883
-62.84888347366841,72110336.15603854
-62.84978988925289,78669072.13224912
-62.850696304837356,84871534.37789226
-62.85160272042184,89168912.20937721
-62.85250913600632,91652777.80539298
-62.853415551590786,92542530.32992584
-62.85432196717527,91447947.3830993
-62.85522838275975,89590218.982579
-62.85613479834423,90142541.5668178
-62.857041213928696,94624066.83445956
-62.85794762951318,101371063.10776305
-62.85885404509766,108992133.34081537
-62.859760460682125,118399018.50662217
-62.860666876266606,129810233.54446992
-62.86157329185109,141124799.40256482
-62.862479707435554,151428665.32449657
-62.863386123020035,162874078.7008986
-62.864292538604516,176900409.94685492
-62.865198954189,191997714.82796457
-62.866105369773464,207421007.87838233
-62.867011785357946,225312001.1193499
-62.86791820094243,246650583.78710347
-62.868824616526894,269197118.435672
-62.869731032111375,292219056.7622039
-62.870637447695856,318929462.40694946
-62.87154386328032,351357701.93806094
-62.872450278864804,387693338.07705617
-62.873356694449285,428012656.61830884
-62.874263110033766,477336969.95434016
-62.87516952561823,539529195.6986072
-62.876075941202714,614409370.2644492
-62.876982356787195,705226832.7416335
-62.87788877237166,822314881.2260275
-62.87879518795614,975076204.8266988
-62.879701603540624,1169076011.0535035
-62.88060801912509,1416935167.4663215
-62.88151443470957,1741968325.6744342
-62.882420850294054,2163813208.9326143
-62.883327265878535,2692024760.0136003
-62.884233681463,3336883524.6813426
-62.88514009704748,4092055644.76161
-62.886046512631964,4867645112.4867935
-62.88695292821643,5456239890.174475
-62.88785934380091,5628366454.239523
-62.88876575938539,5303383118.987451
-62.88967217496986,4618891982.017858
-62.89057859055434,3819631255.5227494
-62.89148500613882,3089683692.389381
-62.8923914217233,2490465244.5081253
-62.89329783730777,2013263511.8871775
-62.89420425289225,1639101240.6418464
-62.89511066847673,1349090827.6380105
-62.8960170840612,1119492827.7913127
-62.89692349964568,931917268.0878638
-62.89782991523016,780263807.5668468
-62.89873633081463,660500527.3714582
-62.89964274639911,563021096.3784138
-62.90054916198359,479967473.9298442
-62.90145557756807,410850919.168524
-62.90236199315254,355707176.4863976
-62.90326840873702,309812818.9902989
-62.9041748243215,269214491.26831645
-62.90508123990597,234972351.61327
-62.90598765549045,208074686.13996366
-62.90689407107493,185621012.5660671
-62.9078004866594,165255782.7513284
-62.90870690224388,148333385.91480857
-62.90961331782836,135685930.09418687
-62.91051973341284,124759743.56584713
-62.91142614899731,113672417.90272291
-62.91233256458179,104036526.30782223
-62.91323898016627,97308074.15459424
-62.91414539575074,92077706.08389412
-62.91505181133522,87166713.52880388
-62.9159582269197,83802025.82815287
-62.916864642504166,82535491.99609323
-62.91777105808865,81247292.00425598
-62.91867747367313,78218709.1624495
-62.91958388925761,74248961.1575679
-62.920490304842076,70035708.33564267
-62.92139672042656,64441950.78419581
-62.92230313601104,57110269.795189686
-62.923209551595505,50012573.434782386
-62.924115967179986,44660080.83498971
-62.92502238276447,40233337.914725974
-62.925928798348934,35938773.02210321
-62.926835213933416,32730985.587646946
-62.9277416295179,31226799.702439204
-62.92864804510238,30269150.99305769
-62.929554460686845,29006821.323289316
-62.930460876271326,28233107.91964689
-62.93136729185581,28380678.278902065
-62.932273707440274,28342500.266396053
-62.933180123024755,27552398.188821312
-62.934086538609236,27197750.996193588
-62.9349929541937,28182840.289824508
-62.935899369778184,29842229.447865568
-62.936805785362665,31683896.015470058
-62.937712200947146,34274038.63377765
-62.93861861653161,37206598.80755257
-62.939525032116094,38277964.820406124
-62.940431447700576,36099064.1508552
-62.94133786328504,31860483.06164797
-62.942244278869524,27361528.53108398
-62.943150694454005,22985430.342662796
-62.94405711003847,18714964.09860778
-62.94496352562295,15352907.342221713
-62.945869941207434,13368527.962965932
-62.946776356791915,11951175.598086998
-62.94768277237638,10400518.115308587
-62.94858918796086,9194232.027498715
-62.949495603545344,8717502.68901838
-62.95040201912981,8276937.555218697
-62.95130843471429,7341822.65605231
-62.95221485029877,6485127.011592755
-62.95312126588324,6187293.613331964
-62.95402768146772,5955138.919653254
-62.9549340970522,5480283.710290886
-62.955840512636684,5419353.8727276735
-62.95674692822115,6153145.582618523
-62.95765334380563,6941257.924426798
-62.95855975939011,7126332.300936274
-62.95946617497458,7060384.647846689
-62.96037259055906,7099742.652581247
-62.96127900614354,6819000.8633022215
-62.96218542172801,5957629.754869739
-62.96309183731249,5040377.103207318
-62.96399825289697,4342825.313059647
-62.96490466848145,3307032.74480588
-62.96581108406592,1651355.211941816
-62.9667174996504,0.0
-62.96762391523488,8841.05017523095
-62.96853033081935,-24475.16422422789
-62.96943674640383,-386782.70250247605
-62.97034316198831,-511459.6279891394
-62.97124957757278,0.0
-62.97215599315726,-154286.36916432902
-62.97306240874174,-479924.20443909615
-62.97396882432622,-596911.5001690276
-62.97487523991069,-282243.5607212335
-62.97578165549517,0.0
-62.97668807107965,-575994.3437259719
-62.97759448666412,-816122.3193809893
-62.9785009022486,-426024.74767314084
-62.97940731783308,0.0
