delta,y
-113.04980420433519,0.0
-113.05071061991966,12878.815583895514
-113.05161703550415,16311.856705762635
-113.05252345108862,-22750.080471263456
-113.05342986667311,-40103.91460254564
-113.05433628225758,0.0
-113.05524269784205,24442.42600860726
-113.05614911342654,-7435.196138261817
-113.05705552901101,-33776.71860275837
-113.05796194459548,-11775.405226943083
-113.05886836017997,0.0
-113.05977477576444,-24559.167194902606
-113.0606811913489,-30818.01679192754
-113.0615876069334,16293.05631381218
-113.06249402251787,43005.22046415339
-113.06340043810233,0.0
-113.06430685368683,-51670.559791165
-113.0652132692713,-72938.46299327875
-113.06611968485576,-118025.80770957813
-113.06702610044026,-203666.04065934452
-113.06793251602473,-241380.49073828646
-113.06883893160919,-188189.9008538163
-113.06974534719369,-127324.95530303096
-113.07065176277816,-117451.35486221683
-113.07155817836265,-104260.50683876316
-113.07246459394712,-59316.833627312066
-113.07337100953158,-51263.60091808502
-113.07427742511608,-94509.90820628242
-113.07518384070055,-87482.83245481388
-113.07609025628501,8073.377801170223
-113.07699667186951,86300.35848180822
-113.07790308745398,83053.54832461808
-113.07880950303844,74867.63803488063
-113.07971591862294,103818.2857730579
-113.0806223342074,82481.70456541923
-113.08152874979187,-26422.239689269743
-113.08243516537637,-114321.32049014303
-113.08334158096083,-114944.59306669497
-113.0842479965453,-110565.74988070957
-113.0851544121298,-148639.69876201724
-113.08606082771426,-137645.161678873
-113.08696724329873,-32477.82782277005
-113.08787365888323,63877.35881557583
-113.08878007446769,91025.6189365497
-113.08968649005219,132105.02536009415
-113.09059290563665,220789.97133979265
-113.09149932122112,252044.65523895028
-113.09240573680562,195870.5137182293
-113.09331215239008,188665.35272194492
-113.09421856797455,295096.10392565886
-113.09512498355905,393870.5867156185
-113.09603139914351,416478.5958098102
-113.09693781472798,473168.0530736486
-113.09784423031248,620216.1957017614
-113.09875064589694,738548.2532730597
-113.09965706148141,772389.2576106918
-113.1005634770659,845082.8243585788
-113.10146989265037,1005285.0895036086
-113.10237630823484,1111732.3078792915
-113.10328272381933,1107733.6132944254
-113.1041891394038,1145213.3719446796
-113.10509555498827,1292233.4133962158
-113.10600197057276,1393984.3573286792
-113.10690838615723,1375346.9118425637
-113.10781480174172,1393319.827215508
-113.10872121732619,1531394.6274942714
-113.10962763291066,1643437.343361965
-113.11053404849515,1663799.609897396
-113.11144046407962,1754624.2412544044
-113.11234687966409,1975025.1744961909
-113.11325329524858,2141647.965502168
-113.11415971083305,2200112.412430373
-113.11506612641752,2380637.987535499
-113.11597254200201,2792753.6671551215
-113.11687895758648,3236531.702461876
-113.11778537317095,3610015.418475108
-113.11869178875544,4102712.2669933327
-113.11959820433991,4784082.837121698
-113.12050461992438,5439942.890700551
-113.12141103550887,6032273.139478686
-113.12231745109334,6841754.955460258
-113.1232238666778,7930265.788154696
-113.1241302822623,9003579.952360673
-113.12503669784677,10058463.277903669
-113.12594311343126,11560460.577133212
-113.12684952901573,13703010.218449919
-113.1277559446002,16189369.988213781
-113.12866236018469,19082717.24421578
-113.12956877576916,23083293.863469444
-113.13047519135363,28594031.6773214
-113.13138160693812,35484569.250251055
-113.13228802252259,44302234.9172433
-113.13319443810705,56638363.57323863
-113.13410085369155,73776045.75608917
-113.13500726927602,96495058.15051019
-113.13591368486048,126823452.69365688
-113.13682010044498,166905476.9749607
-113.13772651602945,212679697.50260848
-113.13863293161391,250095979.13293055
-113.13953934719841,262583079.82360217
-113.14044576278287,244660120.99731183
-113.14135217836734,206576849.2331989
-113.14225859395184,164699859.73684865
-113.1431650095363,129241471.43918142
-113.1440714251208,101726251.05580702
-113.14497784070527,80449876.58616239
-113.14588425628973,64405902.30464912
-113.14679067187423,52717826.48556437
-113.1476970874587,43856084.12892255
-113.14860350304316,36726540.60931056
-113.14950991862766,31223541.88764606
-113.15041633421212,27219473.22069094
-113.15132274979659,24059005.755323455
-113.15222916538109,21344941.251405314
-113.15313558096555,19268285.636218928
-113.15404199655002,17844062.251551908
-113.15494841213452,16579842.715021415
-113.15585482771898,15149049.669582743
-113.15676124330345,13733797.504052278
-113.15766765888795,12493331.090975117
-113.15857407447241,11281031.478363726
-113.15948049005688,10069291.878070468
-113.16038690564137,9110417.815671895
-113.16129332122584,8479769.242569657
-113.16219973681034,7913811.418416308
-113.1631061523948,7257084.737760106
-113.16401256797927,6658396.171577228
-113.16491898356377,6201341.658064319
-113.16582539914823,5738698.019005707
-113.1667318147327,5216704.212959469
-113.1676382303172,4795355.062844101
-113.16854464590166,4524949.689590469
-113.16945106148613,4235051.162116617
-113.17035747707062,3852067.7148014163
-113.17126389265509,3519546.838084391
-113.17217030823956,3308529.600260879
-113.17307672382405,3099636.094146031
-113.17398313940852,2840769.6342144366
-113.17488955499299,2646574.5616990365
-113.17579597057748,2557553.7017617514
-113.17670238616195,2457477.369626276
-113.17760880174642,2307250.0961621013
-113.17851521733091,2217582.454700579
-113.17942163291538,2218310.593806329
-113.18032804849987,2188597.4047610955
-113.18123446408434,2085818.0861091733
-113.18214087966881,2023253.158552501
-113.1830472952533,2053073.1193285505
-113.18395371083777,2080529.4919432704
-113.18486012642224,2059025.392145907
-113.18576654200673,2074305.3811900797
-113.1866729575912,2173013.043995745
-113.18757937317567,2295290.568076954
-113.18848578876016,2441169.849860251
-113.18939220434463,2725357.518004309
-113.1902986199291,3188178.9979982236
-113.19120503551359,3689125.5811881516
-113.19211145109806,4042451.053359691
-113.19301786668252,4143672.33699823
-113.19392428226702,3952633.6233407613
-113.19483069785149,3500012.2228187006
-113.19573711343595,2939187.6185536403
-113.19664352902045,2456122.2232737015
-113.19754994460492,2095828.5427644462
-113.19845636018941,1781697.7179761701
