delta,y
-113.04980420433519,0.0
-113.05071061991966,14888.71059657223
-113.05161703550415,73222.60832845811
-113.05252345108862,71876.33883483644
-113.05342986667311,12538.693948482542
-113.05433628225758,0.0
-113.05524269784205,20647.63045141995
-113.05614911342654,-1463.1081706791156
-113.05705552901101,-63141.11185702328
-113.05796194459548,-61702.87686965298
-113.05886836017997,0.0
-113.05977477576444,147.81185788121365
-113.0606811913489,-52928.36186618413
-113.0615876069334,-54963.19422143503
-113.06249402251787,-3354.3552119496308
-113.06340043810233,0.0
-113.06430685368683,-28359.434967689696
-113.0652132692713,8518.778486725394
-113.06611968485576,100591.83306699849
-113.06702610044026,124794.43414193341
-113.06793251602473,80445.36773874187
-113.06883893160919,92908.98668971233
-113.06974534719369,172256.65933141805
-113.07065176277816,198365.484802538
-113.07155817836265,157455.01763713398
-113.07246459394712,159074.62866276727
-113.07337100953158,205948.56963126024
-113.07427742511608,186047.93397400377
-113.07518384070055,106386.51264531945
-113.07609025628501,91804.10641216519
-113.07699667186951,139440.22412043842
-113.07790308745398,122690.75159357986
-113.07880950303844,49366.41855653777
-113.07971591862294,59679.13745144504
-113.0806223342074,157593.85136108688
-113.08152874979187,208807.93936245635
-113.08243516537637,215716.1989912915
-113.08334158096083,318292.5922379738
-113.0842479965453,506190.2044568949
-113.0851544121298,612763.5008135496
-113.08606082771426,615355.2708770356
-113.08696724329873,656019.4263975548
-113.08787365888323,746671.6510188172
-113.08878007446769,749936.0653798908
-113.08968649005219,672566.0125165342
-113.09059290563665,672858.3432877336
-113.09149932122112,754009.3688935705
-113.09240573680562,760343.6184212604
-113.09331215239008,696052.3124016003
-113.09421856797455,723464.2726352616
-113.09512498355905,827893.2202776029
-113.09603139914351,826974.106267308
-113.09693781472798,737053.2413326326
-113.09784423031248,774592.3610440196
-113.09875064589694,962291.8398572934
-113.09965706148141,1098111.2832396245
-113.1005634770659,1146908.7752074618
-113.10146989265037,1282617.8935312834
-113.10237630823484,1506435.780382624
-113.10328272381933,1621999.826450158
-113.1041891394038,1636158.600995143
-113.10509555498827,1776647.5406629173
-113.10600197057276,2061985.3426758153
-113.10690838615723,2271635.250570868
-113.10781480174172,2388302.7764588576
-113.10872121732619,2630336.0811072625
