delta,y
-113.04980420433519,0.0
-113.05071061991966,4268.344014049333
-113.05161703550415,32166.461948202574
-113.05252345108862,20503.70697109436
-113.05342986667311,-8867.692761089012
-113.05433628225758,0.0
-113.05524269784205,33983.017598391976
-113.05614911342654,23458.60449174326
-113.05705552901101,-10098.627981229685
-113.05796194459548,-11815.713214979507
-113.05886836017997,0.0
-113.05977477576444,-33719.674297737714
-113.0606811913489,-64145.33708309161
-113.0615876069334,-40047.677727516624
-113.06249402251787,1850.3228681788896
-113.06340043810233,0.0
-113.06430685368683,-8220.592608894047
-113.0652132692713,29515.554217104218
-113.06611968485576,87363.29787115194
-113.06702610044026,106430.34838799591
-113.06793251602473,108298.08267222473
-113.06883893160919,139935.6162245018
-113.06974534719369,164719.57029977604
-113.07065176277816,127259.22638629272
-113.07155817836265,69156.06319229543
-113.07246459394712,61585.479210628895
-113.07337100953158,81485.30750933097
-113.07427742511608,72954.34247746144
-113.07518384070055,67985.6092693482
-113.07609025628501,123069.56982924644
-113.07699667186951,200241.3784186995
-113.07790308745398,237250.17092854605
-113.07880950303844,270782.86698964424
-113.07971591862294,361682.2032791787
-113.0806223342074,464852.8057460611
-113.08152874979187,505405.7517231372
-113.08243516537637,516609.6450564933
-113.08334158096083,568708.5445887175
-113.0842479965453,631458.8217746047
-113.0851544121298,645969.1165608701
-113.08606082771426,661663.4783565731
-113.08696724329873,758080.2984252819
-113.08787365888323,898732.3363299628
-113.08878007446769,1004545.9090486019
-113.08968649005219,1100472.7618255764
-113.09059290563665,1245646.8654063076
-113.09149932122112,1395316.82872929
-113.09240573680562,1481563.5168362386
-113.09331215239008,1552128.7129902893
-113.09421856797455,1675997.573551938
-113.09512498355905,1793260.437417157
-113.09603139914351,1816647.7373612032
-113.09693781472798,1797406.7729754816
-113.09784423031248,1828040.8386030819
-113.09875064589694,1868800.9970908219
-113.09965706148141,1838821.2027905593
-113.1005634770659,1788096.3781831258
-113.10146989265037,1805826.4137263806
-113.10237630823484,1853702.3197474969
-113.10328272381933,1868574.7537282256
-113.1041891394038,1927022.6775643323
-113.10509555498827,2117140.250381411
-113.10600197057276,2350966.856119844
-113.10690838615723,2502575.072718495
-113.10781480174172,2626937.0266798274
-113.10872121732619,2840029.6468146546
-113.10962763291066,3097599.7192611424
-113.11053404849515,3307363.462880645
-113.11144046407962,3538323.2689102734
-113.11234687966409,3888628.480988583
-113.11325329524858,4267922.9180532545
-113.11415971083305,4548860.254161766
-113.11506612641752,4807120.418596578
-113.11597254200201,5167272.554204448
-113.11687895758648,5555034.612783199
-113.11778537317095,5865348.909655996
-113.11869178875544,6219041.815231912
-113.11959820433991,6767629.8074020995
-113.12050461992438,7412309.877884108
-113.12141103550887,8026621.201162631
-113.12231745109334,8777566.114319948
-113.1232238666778,9889436.383732362
-113.1241302822623,11285542.803615412
-113.12503669784677,12834962.97440431
-113.12594311343126,14743822.918866672
-113.12684952901573,17298747.008709718
-113.1277559446002,20465172.868724335
-113.12866236018469,24201115.879089743
-113.12956877576916,28907653.465298988
-113.13047519135363,35069092.57648321
-113.13138160693812,42795672.82802903
-113.13228802252259,52363044.82643894
-113.13319443810705,64843897.38600859
-113.13410085369155,81500867.54844499
-113.13500726927602,103093272.4698995
-113.13591368486048,130617441.2822727
-113.13682010044498,165323347.925158
-113.13772651602945,205049695.22361204
-113.13863293161391,240093098.8825048
-113.13953934719841,256081337.186608
-113.14044576278287,244330243.74360496
-113.14135217836734,209528084.63138023
-113.14225859395184,165989619.99162647
-113.1431650095363,126699414.24935892
-113.1440714251208,96650089.24849895
-113.14497784070527,74813474.3441483
-113.14588425628973,58974456.31911524
-113.14679067187423,47584292.77125501
-113.1476970874587,39266945.989802875
-113.14860350304316,32848064.764009394
-113.14950991862766,27857115.291820504
-113.15041633421212,24184819.36050768
-113.15132274979659,21446281.545589544
-113.15222916538109,19178376.633965556
-113.15313558096555,17319010.170521982
-113.15404199655002,15962126.777900206
-113.15494841213452,14867058.384184571
-113.15585482771898,13638146.801731568
-113.15676124330345,12201875.995197723
-113.15766765888795,10750227.868372843
-113.15857407447241,9379129.425809387
-113.15948049005688,8087749.380473609
-113.16038690564137,6972888.281728615
-113.16129332122584,6127997.002581491
-113.16219973681034,5458364.694299535
-113.1631061523948,4827568.05534736
-113.16401256797927,4277398.777971824
-113.16491898356377,3908341.8848067927
-113.16582539914823,3664740.3606539164
-113.1667318147327,3427176.927185675
-113.1676382303172,3203795.9573932197
-113.16854464590166,3052123.666989329
-113.16945106148613,2916557.1184423068
-113.17035747707062,2713849.407416562
-113.17126389265509,2490636.850125147
-113.17217030823956,2342218.717434261
-113.17307672382405,2253069.532205946
-113.17398313940852,2150359.559471844
-113.17488955499299,2034662.1161696645
-113.17579597057748,1933193.0391999611
-113.17670238616195,1803611.9186224034
-113.17760880174642,1605916.0467921551
-113.17851521733091,1399319.9733756308
-113.17942163291538,1257512.217268542
-113.18032804849987,1154571.070005544
-113.18123446408434,1033940.4837475081
-113.18214087966881,920422.4220374292
-113.1830472952533,866522.0701389128
-113.18395371083777,856012.3202736948
-113.18486012642224,857068.3156063869
-113.18576654200673,907713.9082581239
-113.1866729575912,1054648.0879026705
-113.18757937317567,1266134.3614545437
-113.18848578876016,1498490.2883082957
-113.18939220434463,1795044.071119404
-113.1902986199291,2218939.6151884566
-113.19120503551359,2714665.2780401944
-113.19211145109806,3115093.2007767903
-113.19301786668252,3271142.2346831933
-113.19392428226702,3133404.9112854544
-113.19483069785149,2754434.6987480833
-113.19573711343595,2270459.713795194
-113.19664352902045,1841218.838105871
-113.19754994460492,1544815.2840877604
-113.19845636018941,1346140.6512739537
-113.19936277577388,1189831.4914827805
-113.20026919135834,1075735.6901756083
-113.20117560694284,1014417.1865944393
-113.2020820225273,973644.3259486945
-113.20298843811177,921486.070725834
-113.20389485369627,873532.9952348444
-113.20480126928074,848136.7602818887
-113.2057076848652,818838.4536147113
-113.2066141004497,757722.3077258125
-113.20752051603417,684950.190218665
-113.20842693161863,631486.2739565736
-113.20933334720313,591492.5420106424
-113.2102397627876,551923.6192512013
-113.21114617837206,529327.9266242385
-113.21205259395656,535558.7040991385
-113.21295900954102,543085.4176273411
-113.21386542512549,524309.6055832967
-113.21477184070999,493271.14673573826
-113.21567825629445,473798.94897524075
-113.21658467187895,459377.1038608082
-113.21749108746342,437295.4618563613
-113.21839750304788,418719.5214063949
-113.21930391863238,411655.7223204995
-113.22021033421684,396009.2441764044
-113.22111674980131,357565.3505369816
-113.2220231653858,317048.54268529144
-113.22292958097027,295957.4902985267
-113.22383599655474,282678.4533626558
-113.22474241213924,260044.33393837017
-113.2256488277237,236883.9657499272
-113.22655524330817,224312.25628751196
-113.22746165889266,208736.8136983893
-113.22836807447713,176339.59269408826
-113.2292744900616,139994.03142081024
-113.2301809056461,117131.1004768333
-113.23108732123056,103482.49594767945
-113.23199373681503,89304.00140438843
-113.23290015239952,77758.91316698238
-113.23380656798399,68577.51308057501
-113.23471298356849,48817.907142554526
-113.23561939915295,18452.88143239991
-113.23652581473742,0.0
-113.23743223032191,6068.302325292025
-113.23833864590638,16238.920761883259
-113.23924506149085,12708.87181178946
-113.24015147707534,3653.24899232015
-113.24105789265981,0.0
-113.24196430824428,3569.982766432222
-113.24287072382877,-3360.1999376174062
-113.24377713941324,-9829.763169226702
-113.2446835549977,-6064.662643266842
-113.2455899705822,0.0
-113.24649638616667,-13670.01296512864
-113.24740280175114,-20742.19508530828
-113.24830921733563,-13254.42043671629
-113.2492156329201,0.0
