delta,y
-113.04980420433519,0.0
-113.05071061991966,2746.4320793093175
-113.05161703550415,1572.1519704055027
-113.05252345108862,-1234.9339714580237
-113.05342986667311,-1324.5276924452774
-113.05433628225758,0.0
-113.05524269784205,-12.745409638620913
-113.05614911342654,-3668.7504515475594
-113.05705552901101,-6489.6829495839775
-113.05796194459548,-5008.647823903244
-113.05886836017997,0.0
-113.05977477576444,-3423.6408514669165
-113.0606811913489,-9095.342782748863
-113.0615876069334,-14112.662237099838
-113.06249402251787,-11619.03968028957
-113.06340043810233,0.0
-113.06430685368683,26830.147841750848
-113.0652132692713,42467.76673061814
-113.06611968485576,47006.17532395726
-113.06702610044026,50151.119250424556
-113.06793251602473,60959.761441447394
-113.06883893160919,84966.62584783306
-113.06974534719369,124232.05638448664
-113.07065176277816,170865.92177732126
-113.07155817836265,208569.8110191547
-113.07246459394712,232892.08046574722
-113.07337100953158,262092.19791286846
-113.07427742511608,314009.6007558416
-113.07518384070055,380459.6441905469
-113.07609025628501,439848.0701390547
-113.07699667186951,485339.6214730765
-113.07790308745398,522279.23491613334
-113.07880950303844,548012.8659807246
-113.07971591862294,556411.2656104922
-113.0806223342074,555143.4461870106
-113.08152874979187,557243.7651479611
-113.08243516537637,562793.7290616734
-113.08334158096083,568068.8811546059
-113.0842479965453,580733.0240093931
-113.0851544121298,603731.597178058
-113.08606082771426,618488.354857007
-113.08696724329873,609547.1386966655
-113.08787365888323,590479.1898134652
-113.08878007446769,578336.6137326836
-113.08968649005219,561595.0744848966
-113.09059290563665,525525.5996077689
-113.09149932122112,488958.40078485967
-113.09240573680562,479046.3824905762
-113.09331215239008,489746.3519266766
-113.09421856797455,504575.7461854968
-113.09512498355905,537303.530984399
-113.09603139914351,604053.0645911896
-113.09693781472798,677206.8405031231
-113.09784423031248,718143.5842655024
-113.09875064589694,737014.9994090684
-113.09965706148141,769608.5526055449
-113.1005634770659,816991.8955448944
-113.10146989265037,862593.321384037
-113.10237630823484,924360.1845295735
-113.10328272381933,1028279.4341703779
-113.1041891394038,1152430.0996887314
-113.10509555498827,1260820.8515811255
-113.10600197057276,1369183.349741195
-113.10690838615723,1511272.0315298182
-113.10781480174172,1667638.1171941918
-113.10872121732619,1800608.9158494147
-113.10962763291066,1931206.0010540434
-113.11053404849515,2102710.0409317934
-113.11144046407962,2296723.9338276573
-113.11234687966409,2467244.099970081
-113.11325329524858,2625188.173391837
-113.11415971083305,2801649.7441240344
-113.11506612641752,2966398.759570944
-113.11597254200201,3082372.6533089573
-113.11687895758648,3202370.8547820006
-113.11778537317095,3404054.999096716
-113.11869178875544,3667374.7885467
-113.11959820433991,3927290.9289570064
-113.12050461992438,4199674.804924028
-113.12141103550887,4529817.759383384
-113.12231745109334,4870913.538392036
-113.1232238666778,5160474.459661376
-113.1241302822623,5470104.913101674
-113.12503669784677,5923871.801539552
-113.12594311343126,6513214.096128052
-113.12684952901573,7151332.52347084
-113.1277559446002,7852327.067845797
-113.12866236018469,8679317.455617867
-113.12956877576916,9583310.02918944
-113.13047519135363,10496615.208694845
-113.13138160693812,11518594.614579562
-113.13228802252259,12790172.731333565
-113.13319443810705,14263949.809331834
-113.13410085369155,15844391.569253484
-113.13500726927602,17666697.704978503
-113.13591368486048,19968665.94894307
-113.13682010044498,22811394.16814619
-113.13772651602945,26261343.920950048
-113.13863293161391,30724071.55859853
-113.13953934719841,36727627.57624189
-113.14044576278287,44555833.92159332
-113.14135217836734,54570485.81420337
-113.14225859395184,67686359.32806766
-113.1431650095363,84941570.23999558
-113.1440714251208,106881906.78820097
-113.14497784070527,134049242.06418179
-113.14588425628973,167142047.62018985
-113.14679067187423,204311790.17376217
-113.1476970874587,237634135.72492093
-113.14860350304316,254869850.13053194
-113.14950991862766,247803721.8631694
-113.15041633421212,219305754.32142457
-113.15132274979659,181091294.998167
-113.15222916538109,144653298.61261573
-113.15313558096555,115074975.18510029
-113.15404199655002,92220089.29380976
-113.15494841213452,74741714.98203252
-113.15585482771898,61614329.19471922
-113.15676124330345,51630237.83527086
-113.15766765888795,43570744.420416504
-113.15857407447241,36936549.72830525
-113.15948049005688,31706614.309609164
-113.16038690564137,27588546.952694297
-113.16129332122584,24123164.596675746
-113.16219973681034,21240226.809635837
-113.1631061523948,19077421.237761483
-113.16401256797927,17416026.766575657
-113.16491898356377,15813019.505064843
-113.16582539914823,14150796.984980924
-113.1667318147327,12611849.310044998
-113.1676382303172,11244390.043548899
-113.16854464590166,9958691.1533168
-113.16945106148613,8828083.817713426
-113.17035747707062,8000911.074263326
-113.17126389265509,7389444.694299958
-113.17217030823956,6773252.758125711
-113.17307672382405,6133167.8904465
-113.17398313940852,5596247.995955883
-113.17488955499299,5146873.832218556
-113.17579597057748,4676139.317856402
-113.17670238616195,4228448.411929535
-113.17760880174642,3924087.597233985
-113.17851521733091,3709540.008466351
-113.17942163291538,3435515.2890855484
-113.18032804849987,3112604.4448376843
-113.18123446408434,2857653.062907581
-113.18214087966881,2662545.4400968477
-113.1830472952533,2442917.7148948316
-113.18395371083777,2242081.2775886855
-113.18486012642224,2162415.1720839823
-113.18576654200673,2157058.948170823
-113.1866729575912,2099545.2713284674
-113.18757937317567,1999805.930183668
-113.18848578876016,1953661.577570335
-113.18939220434463,1943101.4735778223
-113.1902986199291,1883451.9570337501
-113.19120503551359,1808370.8377618736
-113.19211145109806,1815689.0814606443
-113.19301786668252,1883692.8763338053
-113.19392428226702,1923840.0088116436
-113.19483069785149,1961087.9861768922
-113.19573711343595,2083103.538848519
-113.19664352902045,2264885.1276535452
-113.19754994460492,2423298.5193118816
-113.19845636018941,2597440.612817455
-113.19936277577388,2893039.04192201
-113.20026919135834,3274235.4764571167
-113.20117560694284,3569124.236338593
-113.2020820225273,3658476.2700215625
-113.20298843811177,3529155.628334856
-113.20389485369627,3194028.811349989
-113.20480126928074,2706674.0363753224
-113.2057076848652,2211666.5983932125
-113.2066141004497,1834480.212269393
-113.20752051603417,1549934.9608582892
-113.20842693161863,1272935.0000642927
-113.20933334720313,1019640.2428391217
-113.2102397627876,853752.8802814924
-113.21114617837206,742719.1491692922
-113.21205259395656,610729.0353794867
-113.21295900954102,478251.1195402242
-113.21386542512549,408528.6943117502
-113.21477184070999,368738.15766793373
-113.21567825629445,283907.01405865
-113.21658467187895,178800.7768454116
-113.21749108746342,128436.37399075826
-113.21839750304788,115122.5211986356
-113.21930391863238,70364.46584418358
-113.22021033421684,12547.383345941169
-113.22111674980131,7476.426402628247
-113.2220231653858,34476.23685628691
-113.22292958097027,24318.681675265776
-113.22383599655474,-9350.537684571027
-113.22474241213924,-4631.2817321823095
-113.2256488277237,22766.470641883454
-113.22655524330817,13932.416627226965
-113.22746165889266,-12700.19444603163
-113.22836807447713,1153.3098590183508
-113.2292744900616,34601.90854523728
-113.2301809056461,27340.394078120575
-113.23108732123056,-541.7697118057986
-113.23199373681503,11784.112819088536
-113.23290015239952,45095.836851048865
-113.23380656798399,37105.44173772758
-113.23471298356849,1734.2078289692872
-113.23561939915295,-5142.298435057717
-113.23652581473742,0.0
-113.23743223032191,-20888.47956435736
-113.23833864590638,-56317.31387860523
-113.23924506149085,-44166.66253933162
-113.24015147707534,-3962.530331809263
-113.24105789265981,0.0
-113.24196430824428,-28164.43156389091
-113.24287072382877,-22581.66444036579
-113.24377713941324,7620.000564258822
-113.2446835549977,11014.225121407675
-113.2455899705822,0.0
-113.24649638616667,16925.65818601055
-113.24740280175114,45526.4908586205
-113.24830921733563,32902.77241660794
-113.2492156329201,0.0
